flow_id,start_time,end_time,duration,src_ip,sport,dst_ip,dport,proto,service,orig_bytes,resp_bytes,orig_pkts,resp_pkts,conn_state,local_orig,local_resp,attack_id,attack,phase
f0,952440721.980529,952440721.980529,0.0,202.77.162.213,8,172.16.112.253,0,icmp,-,0,0,1,0,OTH,F,T,784,1,1
f1,952440721.955172,952440721.955172,0.0,202.77.162.213,8,172.16.112.252,0,icmp,-,0,0,1,0,OTH,F,T,783,1,1
f2,952440721.85317,952440721.85317,0.0,202.77.162.213,8,172.16.112.248,0,icmp,-,0,0,1,0,OTH,F,T,779,1,1
f3,952440721.80225,952440721.80225,0.0,202.77.162.213,8,172.16.112.246,0,icmp,-,0,0,1,0,OTH,F,T,777,1,1
f4,952440721.751332,952440721.751332,0.0,202.77.162.213,8,172.16.112.244,0,icmp,-,0,0,1,0,OTH,F,T,775,1,1
f5,952440721.674832,952440721.674832,0.0,202.77.162.213,8,172.16.112.241,0,icmp,-,0,0,1,0,OTH,F,T,772,1,1
f6,952440721.623783,952440721.623783,0.0,202.77.162.213,8,172.16.112.239,0,icmp,-,0,0,1,0,OTH,F,T,770,1,1
f7,952440721.496252,952440721.496252,0.0,202.77.162.213,8,172.16.112.234,0,icmp,-,0,0,1,0,OTH,F,T,765,1,1
f8,952440721.47084,952440721.47084,0.0,202.77.162.213,8,172.16.112.233,0,icmp,-,0,0,1,0,OTH,F,T,764,1,1
f9,952440721.445356,952440721.445356,0.0,202.77.162.213,8,172.16.112.232,0,icmp,-,0,0,1,0,OTH,F,T,763,1,1
f10,952440721.419896,952440721.419896,0.0,202.77.162.213,8,172.16.112.231,0,icmp,-,0,0,1,0,OTH,F,T,762,1,1
f11,952440721.394387,952440721.394387,0.0,202.77.162.213,8,172.16.112.230,0,icmp,-,0,0,1,0,OTH,F,T,761,1,1
f12,952440721.342807,952440721.342807,0.0,202.77.162.213,8,172.16.112.228,0,icmp,-,0,0,1,0,OTH,F,T,759,1,1
f13,952440721.317341,952440721.317341,0.0,202.77.162.213,8,172.16.112.227,0,icmp,-,0,0,1,0,OTH,F,T,758,1,1
f14,952440721.215262,952440721.215262,0.0,202.77.162.213,8,172.16.112.223,0,icmp,-,0,0,1,0,OTH,F,T,754,1,1
f15,952440721.189821,952440721.189821,0.0,202.77.162.213,8,172.16.112.222,0,icmp,-,0,0,1,0,OTH,F,T,753,1,1
f16,952440721.087743,952440721.087743,0.0,202.77.162.213,8,172.16.112.218,0,icmp,-,0,0,1,0,OTH,F,T,749,1,1
f17,952440721.06217,952440721.06217,0.0,202.77.162.213,8,172.16.112.217,0,icmp,-,0,0,1,0,OTH,F,T,748,1,1
f18,952440720.96044,952440720.96044,0.0,202.77.162.213,8,172.16.112.213,0,icmp,-,0,0,1,0,OTH,F,T,744,1,1
f19,952440720.883975,952440720.883975,0.0,202.77.162.213,8,172.16.112.210,0,icmp,-,0,0,1,0,OTH,F,T,741,1,1
f20,952440720.756566,952440720.756566,0.0,202.77.162.213,8,172.16.112.205,0,icmp,-,0,0,1,0,OTH,F,T,736,1,1
f21,952440720.705507,952440720.705507,0.0,202.77.162.213,8,172.16.112.203,0,icmp,-,0,0,1,0,OTH,F,T,734,1,1
f22,952440720.679951,952440720.679951,0.0,202.77.162.213,8,172.16.112.202,0,icmp,-,0,0,1,0,OTH,F,T,733,1,1
f23,952440720.628995,952440720.628995,0.0,202.77.162.213,8,172.16.112.200,0,icmp,-,0,0,1,0,OTH,F,T,731,1,1
f24,952440720.578065,952440720.578065,0.0,202.77.162.213,8,172.16.112.198,0,icmp,-,0,0,1,0,OTH,F,T,729,1,1
f25,952440720.552723,952440720.552723,0.0,202.77.162.213,8,172.16.112.197,0,icmp,-,0,0,1,0,OTH,F,T,728,1,1
f26,952440720.501958,952440720.501958,0.0,202.77.162.213,8,172.16.112.195,0,icmp,-,0,0,1,0,OTH,F,T,726,1,1
