ts,rss_bytes,rss_mb,proc_cpu_percent,system_mem_percent,system_mem_available_mb
2026-06-11T07:46:34.587415+00:00Z,31083331584,29643.375,99.9,56.4,27782.0625
2026-06-11T07:46:35.613912+00:00Z,31086063616,29645.98046875,102.3,56.5,27752.15625
2026-06-11T07:46:36.671157+00:00Z,31097864192,29657.234375,99.0,56.5,27715.7890625
2026-06-11T07:46:37.701416+00:00Z,31119372288,29677.74609375,100.3,56.5,27701.640625
2026-06-11T07:46:38.747712+00:00Z,31138586624,29696.0703125,99.4,56.6,27662.5546875
2026-06-11T07:46:39.838874+00:00Z,31158009856,29714.59375,101.3,56.6,27661.61328125
2026-06-11T07:46:40.926465+00:00Z,31173468160,29729.3359375,97.9,56.7,27629.80078125
2026-06-11T07:46:41.938537+00:00Z,31189598208,29744.71875,100.3,56.6,27692.18359375
2026-06-11T07:46:42.969356+00:00Z,31205650432,29760.02734375,100.9,56.5,27699.359375
2026-06-11T07:46:43.980342+00:00Z,31218860032,29772.625,100.2,56.5,27744.87109375
2026-06-11T07:46:45.072733+00:00Z,31231844352,29785.0078125,98.8,56.5,27709.89453125
2026-06-11T07:46:46.090659+00:00Z,31243325440,29795.95703125,100.4,56.6,27686.37890625
2026-06-11T07:46:47.165989+00:00Z,31253925888,29806.06640625,100.0,56.6,27673.3828125
