ts,rss_bytes,rss_mb,proc_cpu_percent,system_mem_percent,system_mem_available_mb
2026-06-10T11:07:56.612079+00:00Z,31082872832,29642.9375,96.3,62.0,24242.328125
2026-06-10T11:07:57.624982+00:00Z,31084920832,29644.890625,99.7,61.9,24261.58984375
2026-06-10T11:07:58.626575+00:00Z,31087099904,29646.96875,99.8,62.0,24236.46484375
2026-06-10T11:07:59.629578+00:00Z,31093530624,29653.1015625,100.7,62.0,24247.640625
2026-06-10T11:08:00.637926+00:00Z,31109775360,29668.59375,100.2,62.0,24254.34765625
2026-06-10T11:08:01.648026+00:00Z,31128018944,29685.9921875,99.0,62.0,24243.84765625
2026-06-10T11:08:02.649198+00:00Z,31143071744,29700.34765625,100.9,62.0,24245.56640625
2026-06-10T11:08:03.658929+00:00Z,31156486144,29713.140625,100.0,62.0,24238.64453125
2026-06-10T11:08:04.667099+00:00Z,31168598016,29724.69140625,99.1,62.0,24232.3203125
2026-06-10T11:08:05.674691+00:00Z,31179747328,29735.32421875,100.2,62.0,24237.83203125
2026-06-10T11:08:06.679820+00:00Z,31191158784,29746.20703125,100.5,62.0,24246.16015625
2026-06-10T11:08:07.683762+00:00Z,31203655680,29758.125,100.6,62.0,24240.29296875
2026-06-10T11:08:08.684828+00:00Z,31216001024,29769.8984375,98.9,62.0,24231.06640625
2026-06-10T11:08:09.687485+00:00Z,31227191296,29780.5703125,99.7,62.0,24224.6875
2026-06-10T11:08:10.690169+00:00Z,31236296704,29789.25390625,100.7,62.0,24220.09375
2026-06-10T11:08:11.693154+00:00Z,31244095488,29796.69140625,99.4,62.0,24211.16015625
2026-06-10T11:08:12.702588+00:00Z,31253123072,29805.30078125,100.4,62.0,24205.3359375
2026-06-10T11:08:13.705482+00:00Z,31263080448,29814.796875,100.7,62.1,24172.8984375
2026-06-10T11:08:14.713480+00:00Z,31271456768,29822.78515625,98.9,62.1,24186.921875
2026-06-10T11:08:15.720038+00:00Z,31279357952,29830.3203125,100.3,62.1,24163.8828125
2026-06-10T11:08:16.728083+00:00Z,31286624256,29837.25,101.3,62.2,24125.79296875
2026-06-10T11:08:17.735266+00:00Z,31291703296,29842.09375,98.5,62.6,23850.00390625
