ts,rss_bytes,rss_mb,proc_cpu_percent,system_mem_percent,system_mem_available_mb
2026-06-05T16:44:07.348024+00:00Z,31093927936,29653.48046875,739.2,58.8,26249.48828125
2026-06-05T16:44:08.350685+00:00Z,31094792192,29654.3046875,1505.9,58.8,26284.546875
2026-06-05T16:44:09.352118+00:00Z,31095685120,29655.15625,1596.1,58.7,26296.53515625
2026-06-05T16:44:10.353700+00:00Z,31099109376,29658.421875,1578.6,58.8,26274.5546875
2026-06-05T16:44:11.354735+00:00Z,31106654208,29665.6171875,1582.6,58.7,26300.171875
2026-06-05T16:44:12.355478+00:00Z,31110217728,29669.015625,1600.5,58.7,26315.3828125
2026-06-05T16:44:13.356852+00:00Z,31116767232,29675.26171875,1597.1,58.7,26302.3046875
2026-06-05T16:44:14.357613+00:00Z,31119933440,29678.28125,1597.6,58.8,26287.88671875
2026-06-05T16:44:15.363629+00:00Z,31126073344,29684.13671875,1580.9,58.7,26313.7421875
2026-06-05T16:44:16.373826+00:00Z,31129960448,29687.84375,1583.3,58.7,26320.6328125
2026-06-05T16:44:17.381977+00:00Z,31136829440,29694.39453125,1594.3,58.8,26292.08203125
2026-06-05T16:44:18.382890+00:00Z,31139246080,29696.69921875,1574.6,58.7,26300.80859375
2026-06-05T16:44:19.383669+00:00Z,31144804352,29702.0,1558.9,58.7,26307.38671875
2026-06-05T16:44:20.384349+00:00Z,31148597248,29705.6171875,1592.0,58.6,26408.35546875
2026-06-05T16:44:21.390064+00:00Z,31149785088,29706.75,1577.9,58.5,26439.33203125
2026-06-05T16:44:22.396414+00:00Z,31156805632,29713.4453125,1571.0,58.5,26443.81640625
2026-06-05T16:44:23.397621+00:00Z,31161081856,29717.5234375,1587.2,58.5,26448.39453125
2026-06-05T16:44:24.398649+00:00Z,31164293120,29720.5859375,1581.2,58.5,26471.46875
2026-06-05T16:44:25.399896+00:00Z,31168892928,29724.97265625,1599.1,58.5,26479.06640625
2026-06-05T16:44:26.400575+00:00Z,31177863168,29733.52734375,1596.8,58.5,26476.48828125
2026-06-05T16:44:27.401625+00:00Z,31179214848,29734.81640625,1599.5,58.5,26482.14453125
2026-06-05T16:44:28.404611+00:00Z,31183331328,29738.7421875,1598.0,58.5,26469.40625
2026-06-05T16:44:29.405493+00:00Z,31189155840,29744.296875,1599.8,58.4,26491.83984375
2026-06-05T16:44:30.406338+00:00Z,31196315648,29751.125,1598.5,58.4,26502.7734375
2026-06-05T16:44:31.407387+00:00Z,31198646272,29753.34765625,1598.4,58.4,26498.859375
2026-06-05T16:44:32.408328+00:00Z,31204118528,29758.56640625,1598.5,58.5,26481.140625
2026-06-05T16:44:33.409843+00:00Z,31208493056,29762.73828125,1599.8,58.5,26483.29296875
2026-06-05T16:44:34.412532+00:00Z,31211245568,29765.36328125,1598.4,58.5,26480.22265625
2026-06-05T16:44:35.413506+00:00Z,31215247360,29769.1796875,1599.6,58.5,26475.76171875
2026-06-05T16:44:36.414357+00:00Z,31223054336,29776.625,1597.6,58.5,26454.2109375
2026-06-05T16:44:37.415431+00:00Z,31228170240,29781.50390625,1600.3,58.5,26441.9765625
2026-06-05T16:44:38.420697+00:00Z,31229292544,29782.57421875,1599.6,58.5,26460.75
2026-06-05T16:44:39.421534+00:00Z,31235497984,29788.4921875,1597.7,58.5,26454.203125
2026-06-05T16:44:40.422365+00:00Z,31239225344,29792.046875,1598.8,58.5,26430.26171875
2026-06-05T16:44:41.428260+00:00Z,31243759616,29796.37109375,1598.3,58.5,26425.52734375
2026-06-05T16:44:42.434432+00:00Z,31246598144,29799.078125,1584.2,58.5,26444.640625
2026-06-05T16:44:43.435399+00:00Z,31250468864,29802.76953125,1587.6,58.5,26440.07421875
2026-06-05T16:44:44.436262+00:00Z,31253524480,29805.68359375,1598.6,58.6,26412.82421875
