ts,rss_bytes,rss_mb,proc_cpu_percent,system_mem_percent,system_mem_available_mb
2026-06-05T18:32:51.789390+00:00Z,31109001216,29667.85546875,762.8,58.6,26419.62890625
2026-06-05T18:32:52.790880+00:00Z,31110844416,29669.61328125,1592.6,58.6,26414.3359375
2026-06-05T18:32:53.791622+00:00Z,31112466432,29671.16015625,1576.9,58.6,26393.3671875
2026-06-05T18:32:54.793989+00:00Z,31113736192,29672.37109375,1525.4,58.6,26383.7265625
2026-06-05T18:32:55.794804+00:00Z,31122169856,29680.4140625,1513.8,58.6,26395.14453125
2026-06-05T18:32:56.797942+00:00Z,31128899584,29686.83203125,1468.5,58.6,26421.82421875
2026-06-05T18:32:57.805713+00:00Z,31138734080,29696.2109375,1531.0,58.6,26423.13671875
2026-06-05T18:32:58.810326+00:00Z,31147646976,29704.7109375,1546.0,58.6,26402.32421875
2026-06-05T18:32:59.811291+00:00Z,31159484416,29716.0,1551.6,58.6,26397.76171875
2026-06-05T18:33:00.813714+00:00Z,31166799872,29722.9765625,1516.3,58.6,26397.31640625
2026-06-05T18:33:01.819541+00:00Z,31175962624,29731.71484375,1560.0,58.6,26401.83984375
2026-06-05T18:33:02.832801+00:00Z,31184728064,29740.07421875,1542.1,58.6,26409.8515625
2026-06-05T18:33:03.837490+00:00Z,31191801856,29746.8203125,1542.7,58.6,26396.71875
2026-06-05T18:33:04.842250+00:00Z,31197609984,29752.359375,1561.2,58.5,26424.87109375
2026-06-05T18:33:05.847106+00:00Z,31205371904,29759.76171875,1538.8,58.5,26425.65625
2026-06-05T18:33:06.848498+00:00Z,31210094592,29764.265625,1540.1,58.5,26429.3203125
2026-06-05T18:33:07.850691+00:00Z,31216660480,29770.52734375,1566.3,58.5,26431.60546875
2026-06-05T18:33:08.852246+00:00Z,31224938496,29778.421875,1495.5,58.5,26438.0
2026-06-05T18:33:09.856501+00:00Z,31230480384,29783.70703125,1584.9,58.5,26435.01953125
2026-06-05T18:33:10.858333+00:00Z,31236653056,29789.59375,1590.2,58.6,26419.02734375
2026-06-05T18:33:11.859534+00:00Z,31240896512,29793.640625,1566.3,58.5,26430.2734375
2026-06-05T18:33:12.860168+00:00Z,31244300288,29796.88671875,1540.7,58.6,26420.18359375
2026-06-05T18:33:13.866759+00:00Z,31249825792,29802.15625,1555.8,58.5,26441.11328125
2026-06-05T18:33:14.871141+00:00Z,31255302144,29807.37890625,1573.2,58.5,26440.33203125
2026-06-05T18:33:15.872964+00:00Z,31260110848,29811.96484375,1560.2,58.5,26436.859375
2026-06-05T18:33:16.873932+00:00Z,31264940032,29816.5703125,1519.5,58.5,26428.62109375
2026-06-05T18:33:17.874866+00:00Z,31271043072,29822.390625,1573.1,58.5,26441.65625
