ts,rss_bytes,rss_mb,proc_cpu_percent,system_mem_percent,system_mem_available_mb
2026-06-09T19:47:44.304966+00:00Z,31107461120,29666.38671875,1134.9,86.1,8850.0390625
2026-06-09T19:47:45.306320+00:00Z,31107641344,29666.55859375,1386.2,86.1,8833.8671875
2026-06-09T19:47:46.307258+00:00Z,31107735552,29666.6484375,1552.6,86.1,8834.8046875
2026-06-09T19:47:47.307922+00:00Z,31107780608,29666.69140625,1551.1,86.2,8825.078125
2026-06-09T19:47:48.308572+00:00Z,31108009984,29666.91015625,1549.9,86.1,8830.2734375
2026-06-09T19:47:49.309490+00:00Z,31108096000,29666.9921875,1595.4,86.1,8839.2890625
2026-06-09T19:47:50.310468+00:00Z,31108374528,29667.2578125,1594.7,86.2,8826.984375
2026-06-09T19:47:51.311154+00:00Z,31108603904,29667.4765625,1596.7,86.2,8821.00390625
2026-06-09T19:47:52.312458+00:00Z,31108780032,29667.64453125,1595.1,86.1,8841.90234375
2026-06-09T19:47:53.313339+00:00Z,31108927488,29667.78515625,1596.6,86.1,8838.44921875
2026-06-09T19:47:54.313919+00:00Z,31109107712,29667.95703125,1597.1,86.2,8825.140625
2026-06-09T19:47:55.314579+00:00Z,31109292032,29668.1328125,1595.0,86.2,8827.5234375
2026-06-09T19:47:56.315229+00:00Z,31109382144,29668.21875,1595.9,86.2,8824.078125
2026-06-09T19:47:57.315939+00:00Z,31109697536,29668.51953125,1597.7,86.2,8809.69140625
2026-06-09T19:47:58.316860+00:00Z,31109898240,29668.7109375,1595.6,86.2,8807.07421875
2026-06-09T19:47:59.317696+00:00Z,31110062080,29668.8671875,1595.7,86.2,8797.1640625
2026-06-09T19:48:00.318442+00:00Z,31110148096,29668.94921875,1595.8,86.2,8775.13671875
2026-06-09T19:48:01.319136+00:00Z,31110311936,29669.10546875,1597.9,86.3,8763.44921875
2026-06-09T19:48:02.319824+00:00Z,31110443008,29669.23046875,1596.9,86.2,8781.62109375
