ts,rss_bytes,rss_mb,proc_cpu_percent,system_mem_percent,system_mem_available_mb
2026-06-05T04:08:29.692530+00:00Z,30885998592,29455.18359375,771.5,78.6,13621.75
2026-06-05T04:08:30.700868+00:00Z,30887071744,29456.20703125,1576.8,78.6,13644.25
2026-06-05T04:08:31.709994+00:00Z,30888067072,29457.15625,1590.4,78.6,13649.69921875
2026-06-05T04:08:32.716629+00:00Z,30889086976,29458.12890625,1580.5,78.6,13659.71875
2026-06-05T04:08:33.717325+00:00Z,30890094592,29459.08984375,1585.0,78.6,13651.05859375
2026-06-05T04:08:34.723120+00:00Z,30897053696,29465.7265625,1586.8,78.6,13658.390625
2026-06-05T04:08:35.723884+00:00Z,30903443456,29471.8203125,1597.7,78.6,13653.6640625
2026-06-05T04:08:36.724555+00:00Z,30909771776,29477.85546875,1593.9,78.6,13660.52734375
2026-06-05T04:08:37.725389+00:00Z,30912282624,29480.25,1561.7,78.5,13678.68359375
2026-06-05T04:08:38.726143+00:00Z,30916149248,29483.9375,1578.8,78.5,13686.18359375
2026-06-05T04:08:39.726870+00:00Z,30921424896,29488.96875,1556.9,78.5,13692.66015625
2026-06-05T04:08:40.727608+00:00Z,30927929344,29495.171875,1575.6,78.5,13679.0625
2026-06-05T04:08:41.728776+00:00Z,30934974464,29501.890625,1597.3,78.5,13700.13671875
2026-06-05T04:08:42.731989+00:00Z,30941155328,29507.78515625,1596.9,78.5,13693.16796875
2026-06-05T04:08:43.732826+00:00Z,30947209216,29513.55859375,1598.8,78.6,13671.65625
2026-06-05T04:08:44.733423+00:00Z,30955151360,29521.1328125,1596.0,78.5,13682.11328125
2026-06-05T04:08:45.735343+00:00Z,30961016832,29526.7265625,1597.7,78.6,13671.40234375
2026-06-05T04:08:46.736212+00:00Z,30968049664,29533.43359375,1597.8,78.6,13649.83203125
2026-06-05T04:08:47.738146+00:00Z,30974885888,29539.953125,1593.8,78.6,13639.09375
2026-06-05T04:08:48.738974+00:00Z,30979276800,29544.140625,1572.8,78.6,13620.8046875
2026-06-05T04:08:49.739624+00:00Z,30982889472,29547.5859375,1561.0,78.9,13468.34375
2026-06-05T04:08:50.740366+00:00Z,30985469952,29550.046875,1564.7,78.8,13491.98046875
2026-06-05T04:08:51.741187+00:00Z,30988881920,29553.30078125,1591.7,78.8,13493.68359375
2026-06-05T04:08:52.743968+00:00Z,30993395712,29557.60546875,1579.3,78.8,13498.671875
2026-06-05T04:08:53.750300+00:00Z,30996140032,29560.22265625,1567.1,78.8,13487.9609375
2026-06-05T04:08:54.757227+00:00Z,30998683648,29562.6484375,1591.0,78.8,13495.7890625
2026-06-05T04:08:55.763316+00:00Z,31001354240,29565.1953125,1595.6,78.8,13500.11328125
2026-06-05T04:08:56.772589+00:00Z,31004610560,29568.30078125,1582.8,78.8,13507.58203125
2026-06-05T04:08:57.774407+00:00Z,31011885056,29575.23828125,1595.6,78.8,13538.4609375
2026-06-05T04:08:58.780636+00:00Z,31017021440,29580.13671875,1597.2,78.8,13521.4453125
2026-06-05T04:08:59.784635+00:00Z,31023923200,29586.71875,1598.4,78.8,13527.2421875
2026-06-05T04:09:00.785583+00:00Z,31026995200,29589.6484375,1595.6,78.8,13529.12109375
2026-06-05T04:09:01.786426+00:00Z,31032635392,29595.02734375,1598.8,78.8,13530.46484375
2026-06-05T04:09:02.787072+00:00Z,31038091264,29600.23046875,1597.8,78.8,13545.3203125
2026-06-05T04:09:03.787879+00:00Z,31043592192,29605.4765625,1597.7,78.8,13524.03125
2026-06-05T04:09:04.790773+00:00Z,31049981952,29611.5703125,1596.3,78.8,13537.359375
2026-06-05T04:09:05.791646+00:00Z,31055417344,29616.75390625,1593.8,78.8,13515.6328125
2026-06-05T04:09:06.792286+00:00Z,31059222528,29620.3828125,1598.0,78.8,13517.375
2026-06-05T04:09:07.792888+00:00Z,31064657920,29625.56640625,1599.0,78.8,13512.6484375
2026-06-05T04:09:08.794235+00:00Z,31068712960,29629.43359375,1596.7,78.8,13511.26171875
2026-06-05T04:09:09.795144+00:00Z,31074762752,29635.203125,1596.5,78.8,13526.68359375
2026-06-05T04:09:10.796054+00:00Z,31079112704,29639.3515625,1598.7,78.8,13504.03515625
2026-06-05T04:09:11.797437+00:00Z,31080382464,29640.5625,1597.7,78.8,13525.85546875
2026-06-05T04:09:12.799157+00:00Z,31086354432,29646.2578125,1597.2,78.8,13502.1015625
2026-06-05T04:09:13.800024+00:00Z,31093055488,29652.6484375,1597.7,78.8,13511.90625
2026-06-05T04:09:14.801083+00:00Z,31097196544,29656.59765625,1597.2,78.8,13495.48046875
2026-06-05T04:09:15.802453+00:00Z,31102742528,29661.88671875,1597.8,78.8,13488.359375
2026-06-05T04:09:16.803695+00:00Z,31107084288,29666.02734375,1599.0,78.9,13469.68359375
2026-06-05T04:09:17.804579+00:00Z,31111225344,29669.9765625,1596.7,78.8,13487.41796875
2026-06-05T04:09:18.806119+00:00Z,31115509760,29674.0625,1595.6,78.9,13466.7265625
2026-06-05T04:09:19.807508+00:00Z,31119839232,29678.19140625,1597.7,78.9,13479.359375
2026-06-05T04:09:20.810418+00:00Z,31124283392,29682.4296875,1597.5,78.9,13459.7890625
2026-06-05T04:09:21.811195+00:00Z,31127605248,29685.59765625,1597.6,78.9,13463.06640625
2026-06-05T04:09:22.811921+00:00Z,31131578368,29689.38671875,1596.9,78.9,13464.03515625
2026-06-05T04:09:23.814266+00:00Z,31134208000,29691.89453125,1598.3,78.9,13465.6640625
2026-06-05T04:09:24.815185+00:00Z,31139106816,29696.56640625,1596.5,78.9,13456.9609375
2026-06-05T04:09:25.816417+00:00Z,31143624704,29700.875,1598.0,78.9,13428.33984375
2026-06-05T04:09:26.819827+00:00Z,31148265472,29705.30078125,1598.5,78.9,13421.1640625
2026-06-05T04:09:27.820775+00:00Z,31149674496,29706.64453125,1596.7,79.0,13419.0390625
2026-06-05T04:09:28.821424+00:00Z,31155945472,29712.625,1597.9,78.9,13432.01953125
