ts,rss_bytes,rss_mb,proc_cpu_percent,system_mem_percent,system_mem_available_mb
2026-05-30T00:22:32.900482+00:00Z,10204438528,9731.7109375,1120.2,35.6,41039.94921875
2026-05-30T00:22:33.901513+00:00Z,10205282304,9732.515625,1598.5,35.6,41075.859375
2026-05-30T00:22:34.903708+00:00Z,10206167040,9733.359375,1598.5,35.6,41075.1171875
2026-05-30T00:22:35.904452+00:00Z,10207440896,9734.57421875,1597.8,35.6,41057.44140625
2026-05-30T00:22:36.905174+00:00Z,10207453184,9734.5859375,1597.7,35.6,41082.01171875
2026-05-30T00:22:37.906190+00:00Z,10207567872,9734.6953125,1598.4,35.6,41080.765625
2026-05-30T00:22:38.907171+00:00Z,10207584256,9734.7109375,1597.4,35.6,41079.16015625
2026-05-30T00:22:39.908115+00:00Z,10207608832,9734.734375,1598.5,35.6,41083.625
2026-05-30T00:22:40.909063+00:00Z,10208542720,9735.625,1597.5,35.6,41082.10546875
2026-05-30T00:22:41.910042+00:00Z,10208759808,9735.83203125,1598.3,35.6,41081.80078125
2026-05-30T00:22:42.911639+00:00Z,10208800768,9735.87109375,1598.6,35.6,41078.46875
2026-05-30T00:22:43.912563+00:00Z,10208919552,9735.984375,1597.5,35.6,41070.46484375
2026-05-30T00:22:44.913868+00:00Z,10208919552,9735.984375,1593.6,35.6,41081.15234375
2026-05-30T00:22:45.915247+00:00Z,10208964608,9736.02734375,1598.8,35.5,41108.828125
2026-05-30T00:22:46.919747+00:00Z,10208964608,9736.02734375,1597.0,35.5,41093.6796875
2026-05-30T00:22:47.921902+00:00Z,10208964608,9736.02734375,1597.7,35.5,41101.87109375
2026-05-30T00:22:48.924221+00:00Z,10208976896,9736.0390625,1597.2,35.5,41137.15625
2026-05-30T00:22:49.925926+00:00Z,10208976896,9736.0390625,1598.2,35.5,41127.62109375
2026-05-30T00:22:50.927887+00:00Z,10208976896,9736.0390625,1598.1,35.4,41157.921875
2026-05-30T00:22:51.929000+00:00Z,10208976896,9736.0390625,1598.0,35.4,41165.265625
2026-05-30T00:22:52.930928+00:00Z,10208976896,9736.0390625,1596.9,35.4,41168.6796875
2026-05-30T00:22:53.932883+00:00Z,10208976896,9736.0390625,1597.2,35.4,41184.10546875
2026-05-30T00:22:54.933913+00:00Z,10208976896,9736.0390625,1598.1,35.4,41209.20703125
2026-05-30T00:22:55.935934+00:00Z,10208976896,9736.0390625,1597.8,35.4,41196.1015625
2026-05-30T00:22:56.937887+00:00Z,10208976896,9736.0390625,1598.2,35.4,41191.5859375
2026-05-30T00:22:57.938851+00:00Z,10208976896,9736.0390625,1598.4,35.4,41186.8046875
2026-05-30T00:22:58.939938+00:00Z,10208976896,9736.0390625,1597.0,35.4,41205.625
2026-05-30T00:22:59.942435+00:00Z,10208976896,9736.0390625,1598.0,35.4,41195.921875
2026-05-30T00:23:00.944074+00:00Z,10208976896,9736.0390625,1596.4,35.4,41197.0703125
2026-05-30T00:23:01.945966+00:00Z,10208976896,9736.0390625,1599.0,35.4,41201.70703125
2026-05-30T00:23:02.948386+00:00Z,10208976896,9736.0390625,1598.1,35.4,41196.9765625
2026-05-30T00:23:03.952940+00:00Z,10208980992,9736.04296875,1596.7,35.4,41194.9375
2026-05-30T00:23:04.954400+00:00Z,10208980992,9736.04296875,1597.0,35.4,41199.171875
2026-05-30T00:23:05.955398+00:00Z,10208980992,9736.04296875,1599.1,35.4,41194.69140625
2026-05-30T00:23:06.956930+00:00Z,10208980992,9736.04296875,1597.6,35.4,41209.4765625
2026-05-30T00:23:07.959088+00:00Z,10208980992,9736.04296875,1597.6,35.4,41189.88671875
2026-05-30T00:23:08.961009+00:00Z,10209001472,9736.0625,1597.9,35.4,41210.203125
2026-05-30T00:23:09.962919+00:00Z,10209001472,9736.0625,1596.9,35.4,41183.6484375
2026-05-30T00:23:10.964903+00:00Z,10209001472,9736.0625,1596.1,35.4,41202.4453125
2026-05-30T00:23:11.965972+00:00Z,10209001472,9736.0625,1597.3,35.4,41186.65234375
2026-05-30T00:23:12.967055+00:00Z,10209001472,9736.0625,1598.3,35.4,41189.3515625
2026-05-30T00:23:13.969375+00:00Z,10209001472,9736.0625,1597.8,35.4,41187.48828125
2026-05-30T00:23:14.971230+00:00Z,10209001472,9736.0625,1598.3,35.4,41186.703125
2026-05-30T00:23:15.972367+00:00Z,10209001472,9736.0625,1597.3,35.4,41185.09375
2026-05-30T00:23:16.973965+00:00Z,10209050624,9736.109375,1597.3,35.4,41188.90625
2026-05-30T00:23:17.975890+00:00Z,10209050624,9736.109375,1599.2,35.4,41183.12890625
2026-05-30T00:23:18.977894+00:00Z,10209050624,9736.109375,1597.8,35.4,41187.4609375
2026-05-30T00:23:19.978896+00:00Z,10209050624,9736.109375,1597.4,35.4,41206.2734375
2026-05-30T00:23:20.980932+00:00Z,10209050624,9736.109375,1597.5,35.4,41204.08203125
2026-05-30T00:23:21.982895+00:00Z,10209050624,9736.109375,1599.1,35.4,41186.58984375
2026-05-30T00:23:22.985321+00:00Z,10209050624,9736.109375,1597.0,35.4,41200.9921875
