ts,rss_bytes,rss_mb,proc_cpu_percent,system_mem_percent,system_mem_available_mb
2026-06-01T20:00:17.325625+00:00Z,10211229696,9738.1875,1225.2,43.5,36020.5703125
2026-06-01T20:00:18.326479+00:00Z,10211811328,9738.7421875,1595.6,43.5,36026.5625
2026-06-01T20:00:19.327129+00:00Z,10211835904,9738.765625,1601.0,43.5,36034.3515625
2026-06-01T20:00:20.327758+00:00Z,10211872768,9738.80078125,1599.0,43.5,36042.8203125
2026-06-01T20:00:21.349295+00:00Z,10211897344,9738.82421875,1599.5,43.5,36047.07421875
2026-06-01T20:00:22.349892+00:00Z,10211905536,9738.83203125,1600.0,43.4,36055.3203125
2026-06-01T20:00:23.350715+00:00Z,10211909632,9738.8359375,1599.7,43.4,36050.0859375
2026-06-01T20:00:24.351521+00:00Z,10211913728,9738.83984375,1598.8,43.4,36056.78515625
2026-06-01T20:00:25.352247+00:00Z,10211917824,9738.84375,1600.8,43.4,36067.3359375
2026-06-01T20:00:26.353184+00:00Z,10211917824,9738.84375,1599.5,43.4,36075.53515625
2026-06-01T20:00:27.354024+00:00Z,10211917824,9738.84375,1600.7,43.4,36088.19921875
2026-06-01T20:00:28.354796+00:00Z,10211942400,9738.8671875,1596.7,43.4,36102.734375
2026-06-01T20:00:29.355732+00:00Z,10211966976,9738.890625,1599.5,43.4,36101.58984375
2026-06-01T20:00:30.356489+00:00Z,10211975168,9738.8984375,1599.4,43.4,36112.0859375
2026-06-01T20:00:31.357546+00:00Z,10211991552,9738.9140625,1599.8,43.3,36125.78515625
2026-06-01T20:00:32.358363+00:00Z,10211991552,9738.9140625,1599.7,43.3,36137.41015625
2026-06-01T20:00:33.359092+00:00Z,10211991552,9738.9140625,1601.9,43.3,36154.66015625
2026-06-01T20:00:34.361075+00:00Z,10211999744,9738.921875,1597.6,43.3,36117.6875
2026-06-01T20:00:35.362123+00:00Z,10211999744,9738.921875,1600.3,43.3,36131.984375
2026-06-01T20:00:36.363365+00:00Z,10211999744,9738.921875,1599.3,43.2,36206.328125
2026-06-01T20:00:37.364678+00:00Z,10212007936,9738.9296875,1598.9,43.2,36224.96875
2026-06-01T20:00:38.365413+00:00Z,10212012032,9738.93359375,1600.8,43.1,36246.22265625
2026-06-01T20:00:39.366811+00:00Z,10212016128,9738.9375,1599.1,43.1,36265.87109375
2026-06-01T20:00:40.368123+00:00Z,10212016128,9738.9375,1599.6,43.1,36275.06640625
2026-06-01T20:00:41.369061+00:00Z,10212016128,9738.9375,1599.5,43.1,36284.0078125
2026-06-01T20:00:42.369805+00:00Z,10212016128,9738.9375,1598.8,43.1,36296.00390625
2026-06-01T20:00:43.370456+00:00Z,10212016128,9738.9375,1598.0,43.1,36304.73046875
2026-06-01T20:00:44.371111+00:00Z,10212016128,9738.9375,1599.0,43.0,36314.64453125
2026-06-01T20:00:45.371724+00:00Z,10212040704,9738.9609375,1599.0,43.0,36317.0
2026-06-01T20:00:46.372422+00:00Z,10212040704,9738.9609375,1593.9,43.1,36297.8359375
2026-06-01T20:00:47.373103+00:00Z,10212040704,9738.9609375,1600.9,43.0,36330.6953125
2026-06-01T20:00:48.374399+00:00Z,10212040704,9738.9609375,1596.0,43.0,36345.12109375
2026-06-01T20:00:49.374984+00:00Z,10212040704,9738.9609375,1599.0,43.0,36364.30078125
2026-06-01T20:00:50.375674+00:00Z,10212044800,9738.96484375,1599.9,42.9,36374.50390625
