#=== ait_logic_baseline_scratch_aug_w10_full ===
#
#Metrics:
#  Accuracy: 0.8999 | Macro Precision: 0.5995 | Macro Recall: 0.9698 | Macro F1: 0.6447
#  False Alarms: 47164 | False Alarm Rate: 0.1179
#  Missed Attacks: 11 | Detection Rate: 0.9998
#
#Per-Class Metrics:
#  [phase1] P=0.2925 | R=1.0000 | F1=0.4526 | 
#  [phase2] P=0.9999 | R=0.9998 | F1=0.9999 | 
#  [phase3] P=0.7000 | R=1.0000 | F1=0.8235 | 
#  [phase4] P=0.0050 | R=0.9672 | F1=0.0100 | 
#
#Confusion Matrix:
#         	      	      	      	Actual	      	      
#         	      	benign	phase1	phase2	phase3	phase4
#         	benign	352851	     0	     9	     0	     2
#Predicted	phase1	 35499	 14678	     0	     0	     0
#         	phase2	     3	     0	 56434	     0	     0
#         	phase3	    12	     0	     0	    28	     0
#         	phase4	 11650	     0	     0	     0	    59
i,time,loss,ground_time,compile_time,eval_time
100,1.3581085205078125,0.34511945803695354,0.009412852339446545,0.006073367893695831,7.473930716514588e-05
200,2.508286714553833,0.31489474206552254,0.009629937149584293,0.006311232820153236,7.369812577962875e-05
300,3.55426025390625,0.3631085705236845,0.009482386372983456,0.006105014942586422,7.441706955432892e-05
400,4.632699251174927,0.345825370031071,0.009526468180119992,0.0062025093659758565,7.50952959060669e-05
500,5.684532403945923,0.34766052190995184,0.009541636928915978,0.006130897738039494,7.446188479661941e-05
600,6.73164439201355,0.34871050754491767,0.009584622271358968,0.00622876513749361,7.496915757656098e-05
700,7.792310953140259,0.3415546394781379,0.00961770087480545,0.006271551214158535,7.454082369804383e-05
800,8.803567171096802,0.35988091945810075,0.009485133625566959,0.006074275523424148,7.507618516683579e-05
900,9.781842231750488,0.35810446983396077,0.009518980346620083,0.006054992973804474,7.440641522407532e-05
1000,10.73733139038086,0.3418539896072714,0.009607265703380108,0.006194924563169479,7.476139813661576e-05
1100,11.718204736709595,0.3343107180292465,0.009651185274124145,0.006307549476623535,7.500525563955307e-05
1200,12.676161289215088,0.350845009552932,0.00948629181832075,0.00609493650496006,7.488474249839783e-05
1300,13.5958092212677,0.3482799406110686,0.009539847224950791,0.006202626004815102,7.43771344423294e-05
1400,14.48964238166809,0.3634528106123258,0.009561399854719639,0.006072665601968765,7.42315873503685e-05
1500,15.359106302261353,0.3526991533377587,0.009496897086501121,0.0061876818165183065,7.393255829811096e-05
1600,16.31364369392395,0.33428999958639677,0.009522592537105084,0.006113344766199589,7.697474211454391e-05
1700,17.186992406845093,0.343979858930765,0.009586052447557449,0.006242242455482483,7.47784599661827e-05
1800,18.08519697189331,0.34760872580282737,0.009507786333560943,0.006213354766368866,7.427245378494263e-05
1900,18.985910654067993,0.34801166814620993,0.009437237679958344,0.006007560603320599,7.399857044219971e-05
2000,19.88448715209961,0.35301576883593355,0.009381400644779206,0.00589741513133049,7.406160235404968e-05
2100,20.753822803497314,0.3461609774351915,0.00950840450823307,0.006157282292842865,7.382184267044068e-05
2200,21.65251636505127,0.34974495434774583,0.009393901750445365,0.006124029420316219,7.43056833744049e-05
2300,22.525941610336304,0.33540904669752863,0.009544710591435433,0.0061502460390329364,7.397536188364029e-05
2400,23.404438972473145,0.3404321392931978,0.009565264768898487,0.006208927817642689,7.397990673780442e-05
2500,24.272971153259277,0.33501473703866674,0.00948743473738432,0.006205452084541321,7.360436022281647e-05
2600,25.132230758666992,0.36021215003997875,0.009461990520358086,0.006083378307521343,7.342956960201263e-05
2700,25.978042602539062,0.3457873862191796,0.009618473052978516,0.006171500943601131,7.308740168809891e-05
2800,26.83623766899109,0.3573521077912244,0.009447714611887932,0.006124089919030667,7.38443061709404e-05
2900,27.702418565750122,0.3454396930567301,0.009531808458268643,0.006134842596948147,7.318116724491119e-05
3000,28.521679878234863,0.34508509374666346,0.009679046347737313,0.006356957890093326,7.273595780134201e-05
3100,29.385697841644287,0.35516753621298947,0.009505057074129582,0.006151000037789345,7.57995992898941e-05
3200,30.215917348861694,0.3472696653248984,0.009625543504953385,0.006182644776999951,7.29016587138176e-05
3300,31.016461610794067,0.3465276625035872,0.009508141502737998,0.006161184012889862,7.212135940790177e-05
3400,31.85937809944153,0.35657039462111745,0.009570228233933449,0.00616690956056118,7.336743175983428e-05
3500,32.6914598941803,0.34766570152066434,0.009720458611845971,0.006282561756670475,7.321875542402267e-05
3600,33.52255082130432,0.3475966400444981,0.009500623643398286,0.006156245544552803,7.276061922311782e-05
3700,34.34029698371887,0.3383477068554038,0.009555856660008431,0.006077067330479622,7.269028574228287e-05
3800,35.180771350860596,0.3379085072370341,0.009647244550287724,0.006276467815041542,7.317129522562027e-05
3900,35.99303102493286,0.33756426714839266,0.009568101800978184,0.00620317917317152,7.290169596672059e-05
4000,36.81171417236328,0.35159564505876423,0.009567988030612469,0.006105451472103595,7.390826940536498e-05
4100,37.6230947971344,0.32818411715458273,0.009575566202402115,0.006243706047534943,7.253676652908325e-05
4200,38.45008134841919,0.35735210779122445,0.009598361663520336,0.006228230707347393,7.444217801094055e-05
4300,39.32182836532593,0.3525938345866053,0.009412113316357136,0.0060377390310168266,7.579877972602845e-05
4400,40.16703224182129,0.3346635908024087,0.009533735327422618,0.006185152158141136,7.35536590218544e-05
4500,40.970641136169434,0.34475466595325527,0.009523489102721215,0.006221953816711903,7.348351180553437e-05
4600,41.78576922416687,0.35517271582370197,0.009552589505910874,0.0061476101353764535,7.249526679515838e-05
4700,42.5976345539093,0.3393510759939574,0.009783480502665042,0.006464201509952545,7.192708551883697e-05
4800,43.39903664588928,0.3451127183371301,0.009517950937151909,0.006226275600492954,7.151354104280472e-05
4900,44.19598746299744,0.36060220383656244,0.009531361162662505,0.006186766438186169,7.157843559980392e-05
5000,45.01254844665527,0.3537439593620121,0.009598793424665929,0.006211038306355476,7.17184692621231e-05
5100,45.813804149627686,0.3404131473872524,0.009548155777156352,0.006271003633737564,7.182087749242783e-05
5200,46.65626120567322,0.3461765162673291,0.00951691348105669,0.006183180399239064,7.443185895681382e-05
5300,47.51004648208618,0.3458495415477292,0.009527304731309414,0.006173214763402939,7.528308779001237e-05
5400,48.35135340690613,0.3400896257414606,0.009532552026212216,0.006113531589508056,7.467728108167648e-05
5500,49.18816566467285,0.3472247753653905,0.009520105570554733,0.006098642647266388,7.358800619840622e-05
5600,50.064831495285034,0.3405991390208166,0.009532226311663788,0.006173678516513772,7.19140801164839e-05
5700,50.83111619949341,0.3404235066086773,0.009514086209237575,0.0061463435366749765,7.405724376440048e-05
5800,51.55858063697815,0.35737282623407424,0.009427039325237275,0.006139535121619701,7.086742669343949e-05
5900,52.27768540382385,0.35554458050281,0.00945585660636425,0.006101861633360386,6.998639553785325e-05
6000,53.074421644210815,0.34328619914277,0.009532567299902438,0.00617862418293953,7.695063948631286e-05
6100,53.906325578689575,0.3494231592388586,0.009626120030879974,0.006314019858837128,8.006397634744644e-05
6200,54.68177914619446,0.3475931869706899,0.009508502520620823,0.0061828292533755306,7.487121969461441e-05
6300,55.52542328834534,0.34369950070757715,0.009649802111089229,0.006249702349305153,8.00023227930069e-05
6400,56.4917094707489,0.3508432830160279,0.00958014365285635,0.006280636712908745,9.289339184761048e-05
6500,57.31388783454895,0.33219002831646527,0.009598214700818062,0.006255483217537403,8.007951080799103e-05
6600,58.145572662353516,0.3450712814514304,0.009474230818450452,0.0061357938498258595,8.092500269412994e-05
6700,59.12998628616333,0.3605832119306168,0.009457215778529643,0.006112560033798218,9.503431618213654e-05
6800,60.006601095199585,0.3393458963832452,0.009639111906290054,0.006182018928229809,8.494928479194642e-05
6900,60.799182415008545,0.34363907191593185,0.009540533609688283,0.006251887641847134,7.742099463939667e-05
7000,61.552794456481934,0.3303255253102138,0.009539904780685901,0.006143442466855049,7.36667588353157e-05
7100,62.30055570602417,0.3378826091834719,0.009601155668497086,0.006173602901399135,7.29404017329216e-05
7200,63.042250871658325,0.33615104951884,0.009579624235630035,0.006251909546554088,7.249262183904648e-05
7300,63.79736948013306,0.3310468096886754,0.009436568133533002,0.0061443189904093745,7.405504584312439e-05
7400,64.57120037078857,0.35449114179403585,0.009624105468392373,0.0062293726950883865,7.574651390314102e-05
7500,65.43682336807251,0.3375072914305558,0.00959404807537794,0.006281500235199928,8.38565081357956e-05
7600,66.25506520271301,0.35120996808442306,0.009420697391033173,0.00603678148239851,7.967669516801834e-05
7700,66.99701118469238,0.3399782036311608,0.00948447171598673,0.006050442606210709,7.275249809026718e-05
7800,67.78213286399841,0.35302958113116695,0.009545821025967597,0.0061623136326670646,7.688783109188079e-05
7900,68.65575933456421,0.35158355930043533,0.009539388567209244,0.00613886509090662,8.479543030261993e-05
8000,69.44710683822632,0.34366324343259,0.009509866535663604,0.00616579320281744,7.686976343393326e-05
8100,70.21751070022583,0.3375625406114886,0.009558224827051163,0.006123451068997383,7.483813911676407e-05
8200,70.97965836524963,0.33001063634894284,0.009636921100318432,0.006142681278288364,7.445000112056732e-05
8300,71.72682499885559,0.3656028514524777,0.009340370334684848,0.006002099737524986,7.318273186683655e-05
8400,72.54704594612122,0.3371803167109559,0.009549005627632142,0.006219955720007419,8.008986711502075e-05
8500,73.37124586105347,0.33001236288584723,0.00955390378832817,0.006258927024900913,7.998034358024598e-05
8600,74.17969131469727,0.3375090179674599,0.009620099999010564,0.006200824230909348,7.841568440198898e-05
8700,74.94972372055054,0.35591989825572606,0.009558761715888977,0.0061784455180168155,7.489010691642761e-05
8800,75.74688029289246,0.33679118666280644,0.00963595200330019,0.006319057047367096,7.72334262728691e-05
8900,76.58927154541016,0.35984293564620934,0.00943174671381712,0.006080220453441143,8.14911350607872e-05
9000,77.35616064071655,0.35480775729221087,0.009601061344146728,0.006217769272625446,7.517706602811813e-05
9100,78.11115980148315,0.354446251834528,0.009500829949975014,0.006110607534646988,7.401522248983384e-05
9200,78.87699866294861,0.35697506350140423,0.009485730715095998,0.006037018150091171,7.504854351282119e-05
9300,79.64242744445801,0.345462138036484,0.009714793637394905,0.006274750046432018,7.49274343252182e-05
9400,80.48935461044312,0.3458184638834543,0.009622383937239647,0.006188273131847381,8.158482611179351e-05
9500,81.2475016117096,0.3588033092326684,0.009512420557439328,0.006058192029595375,7.340874522924423e-05
9600,82.020183801651,0.34577875353465887,0.009578483588993549,0.006145951896905899,7.467728108167648e-05
9700,82.82172322273254,0.3408126366568263,0.00952998001128435,0.006163158789277077,7.721144706010819e-05
9800,83.5740098953247,0.35157665315281866,0.00946930680423975,0.006048497892916203,7.312119007110596e-05
9900,84.33494663238525,0.35701822692400786,0.009662292562425137,0.006227881200611591,7.41182267665863e-05
10000,85.101154088974,0.3552573161320056,0.009590671136975289,0.006248653121292591,7.440999150276184e-05
10100,85.90721893310547,0.35916999430106394,0.00943585243076086,0.006095705069601536,7.805176079273224e-05
10200,86.67347383499146,0.32708578848630077,0.00971031904220581,0.006249825023114681,7.483579218387604e-05
10300,87.42764329910278,0.3533928131257538,0.009639488682150841,0.006252483502030373,7.379386574029922e-05
10400,88.17754817008972,0.3677856964938085,0.009443232715129852,0.006030250117182731,7.342204451560975e-05
10500,88.92730021476746,0.3454396930567299,0.009484861716628075,0.006073138639330864,7.329922169446945e-05
10600,89.71935534477234,0.35052666751785283,0.009408544041216374,0.006108698807656765,7.718842476606369e-05
10700,90.48775935173035,0.35335482931386264,0.009505257494747638,0.006151447929441929,7.519397884607315e-05
10800,91.25503325462341,0.3512548580439313,0.009515300057828427,0.006223922483623028,7.506251335144042e-05
10900,92.00385665893555,0.3534152581055077,0.009694161899387837,0.006318046040832997,7.314156740903855e-05
11000,92.74616050720215,0.329273813138344,0.009600062109529971,0.0062849104776978495,7.225513458251953e-05
11100,93.57872605323792,0.34392734081251364,0.009541205937663715,0.006233717612922189,7.111346556080713e-05
11200,94.35971689224243,0.340772926308031,0.009480281770229339,0.006172295063734055,7.600262761116028e-05
11300,95.10857510566711,0.353029581131167,0.00951501052826643,0.006054832711815834,7.323570549488068e-05
11400,95.84790873527527,0.3422603850244622,0.009602577462792396,0.0062740731984376906,7.229212671518326e-05
11500,96.57385015487671,0.329964019852531,0.009637575894594193,0.006302660852670669,7.08632543683052e-05
11600,97.29984617233276,0.36419999304434986,0.009485846869647502,0.006051086857914925,7.10185244679451e-05
11700,98.05837297439575,0.3483110182753434,0.009588740244507789,0.0061712912097573284,7.421839982271194e-05
11800,98.8133978843689,0.3400740869093233,0.009467808865010738,0.00614116869866848,7.37350434064865e-05
11900,99.57254314422607,0.35406230139709094,0.009461110047996045,0.006114255525171757,7.408097386360168e-05
12000,100.33617520332336,0.33826828615781274,0.009428158700466156,0.006060567535459995,7.45018944144249e-05
12100,101.14999890327454,0.3523100232896094,0.00943998821079731,0.0060184720531106,7.817879319190979e-05
12200,101.94740581512451,0.3555083232278228,0.009466928839683532,0.006134480126202106,7.703103125095368e-05
12300,102.74480891227722,0.3526749818211005,0.009539940506219863,0.006183407343924046,7.723309099674224e-05
12400,103.60591888427734,0.3436891414861525,0.009631880111992359,0.006172263510525227,8.257649838924408e-05
12500,104.59314513206482,0.35596824128904214,0.009648986384272576,0.006251634582877159,9.480834007263183e-05
12600,105.46372485160828,0.3497587666429791,0.009430886916816235,0.0060903050377964976,8.381847292184829e-05
12700,106.37528944015503,0.33974538565281925,0.009407941326498985,0.0059532662481069564,8.738059550523758e-05
12800,107.1703953742981,0.3627125343279185,0.009480130486190319,0.006178211830556393,7.710155099630356e-05
12900,107.97614860534668,0.3472610326403776,0.009662083126604557,0.0062876266241073606,7.826272398233414e-05
13000,108.7418851852417,0.3360560899891115,0.00948491521179676,0.006121995747089386,7.456760853528976e-05
13100,109.49612784385681,0.3282117417450492,0.009551721513271333,0.006119132861495018,7.344316691160202e-05
