ts,rss_bytes,rss_mb,proc_cpu_percent,system_mem_percent,system_mem_available_mb
2026-06-01T08:42:11.761966+00:00Z,9968832512,9507.01953125,1224.2,30.3,44415.43359375
2026-06-01T08:42:12.762964+00:00Z,9970434048,9508.546875,1423.6,30.2,44480.43359375
2026-06-01T08:42:13.764045+00:00Z,9972039680,9510.078125,1517.4,30.2,44482.05859375
2026-06-01T08:42:14.764516+00:00Z,9973764096,9511.72265625,1486.3,30.2,44482.56640625
2026-06-01T08:42:15.765088+00:00Z,9975812096,9513.67578125,1531.1,30.2,44484.4375
2026-06-01T08:42:16.765571+00:00Z,9977856000,9515.625,1560.0,30.2,44472.1796875
2026-06-01T08:42:17.766998+00:00Z,9979772928,9517.453125,1549.9,30.2,44482.9609375
2026-06-01T08:42:18.772376+00:00Z,9981489152,9519.08984375,1567.5,30.2,44469.78125
2026-06-01T08:42:19.773238+00:00Z,9983401984,9520.9140625,1529.9,30.3,44439.5703125
2026-06-01T08:42:20.773846+00:00Z,9985929216,9523.32421875,1531.1,30.2,44471.33984375
2026-06-01T08:42:21.774475+00:00Z,9995268096,9532.23046875,1556.0,30.2,44466.765625
2026-06-01T08:42:22.776837+00:00Z,10004738048,9541.26171875,1571.2,30.3,44442.23828125
2026-06-01T08:42:23.780783+00:00Z,10014707712,9550.76953125,1515.0,30.3,44432.34765625
2026-06-01T08:42:24.781425+00:00Z,10024321024,9559.9375,1521.0,30.3,44434.84375
2026-06-01T08:42:25.783452+00:00Z,10033180672,9568.38671875,1503.9,30.3,44419.8359375
2026-06-01T08:42:26.792408+00:00Z,10040107008,9574.9921875,1498.4,30.3,44414.32421875
2026-06-01T08:42:27.794976+00:00Z,10046205952,9580.80859375,1474.8,30.3,44438.13671875
2026-06-01T08:42:28.797961+00:00Z,10052120576,9586.44921875,1457.1,30.2,44491.609375
2026-06-01T08:42:29.801006+00:00Z,10058743808,9592.765625,1440.9,30.2,44480.9921875
2026-06-01T08:42:30.801707+00:00Z,10063552512,9597.3515625,1565.1,30.2,44482.30078125
