#=== darpa_flags_neg_scratch_up_w10 ===
#
#Metrics:
#  Accuracy: 0.9421 | Macro Precision: 0.5195 | Macro Recall: 0.9571 | Macro F1: 0.5146
#  False Alarms: 1032 | False Alarm Rate: 0.2434
#  Missed Attacks: 20 | Detection Rate: 0.9986
#
#Per-Class Metrics:
#  [phase1] P=1.0000 | R=0.9870 | F1=0.9934 | 
#  [phase2] P=0.0282 | R=1.0000 | F1=0.0549 | 
#  [phase3] P=0.0654 | R=1.0000 | F1=0.1228 | 
#  [phase4] P=0.0298 | R=1.0000 | F1=0.0579 | 
#  [phase5] P=0.9998 | R=0.9988 | F1=0.9993 | 
#
#Confusion Matrix:
#         	      	      	      	Actual	      	      	      
#         	      	benign	phase1	phase2	phase3	phase4	phase5
#         	benign	  3208	     4	     0	     0	     0	    16
#         	phase1	     0	   303	     0	     0	     0	     0
#Predicted	phase2	   344	     0	    10	     0	     0	     0
#         	phase3	   457	     0	     0	    32	     0	     0
#         	phase4	   228	     0	     0	     0	     7	     0
#         	phase5	     3	     0	     0	     0	     0	 13561
i,time,loss,ground_time,compile_time,eval_time
100,7.003740310668945,0.6248607215285301,0.0007346947193145641,0.0001795535087585448,0.000155209636688232
200,15.43937611579895,0.4550530091091059,0.0008150214672088475,0.00019248075485229571,0.00017621221542358443
300,31.52521538734436,0.17922632560192142,0.001040490627288796,0.00022060208320618058,0.00037125782966613766
400,48.85055375099182,0.148637876046414,0.00098709688186643,0.00021281852722168274,0.00039824304580688384
500,63.20904088020325,0.12603099923777336,0.0009129753589629895,0.00020173101425171073,0.0003282040119171139
600,76.12541794776917,0.0871134931287088,0.0008846240997314264,0.000213776826858524,0.00028602809906005814
700,90.37427163124084,0.075139968231706,0.0009347363948821813,0.00021167793273925946,0.0003516659259796142
800,107.29321455955505,0.07070010174411437,0.0010132700443267573,0.00022284903526306553,0.00040431160926818785
900,121.65310883522034,0.06606581394529712,0.0009490441799163608,0.0002213057041168244,0.00033554601669311514
1000,136.27000761032104,0.06239665926563248,0.0010919067859649358,0.0002034587860107446,0.0003265114784240725
1100,150.91379022598267,0.06256321213124466,0.0009443672657012736,0.0002166631221771277,0.0003331583499908452
1200,167.36447978019714,0.04927551826807758,0.001010021924972509,0.0002208233356475871,0.00040226812362670914
1300,182.10767483711243,0.05504112260543479,0.0009576385021209536,0.00020847043991089175,0.00033998064994811956
