#=== darpa_scratch_original_w100 ===
#
#Metrics:
#  Accuracy: 0.9985 | Macro Precision: 0.3327 | Macro Recall: 0.3331 | Macro F1: 0.3329
#  False Alarms: 0 | False Alarm Rate: 0.0000
#  Missed Attacks: 76 | Detection Rate: 0.9974
#
#Per-Class Metrics:
#  [phase1] P=0.0000 | R=0.0000 | F1=0.0000 | 
#  [phase2] P=0.0000 | R=0.0000 | F1=0.0000 | 
#  [phase3] P=0.0000 | R=0.0000 | F1=0.0000 | 
#  [phase4] P=0.0000 | R=0.0000 | F1=0.0000 | 
#  [phase5] P=1.0000 | R=0.9987 | F1=0.9994 | 
#
#Confusion Matrix:
#         	      	      	      	Actual	      	      	      
#         	      	benign	phase1	phase2	phase3	phase4	phase5
#         	benign	 20864	     8	     9	    14	     7	    38
#         	phase1	     0	     0	     0	     0	     0	     0
#Predicted	phase2	     0	     0	     0	     0	     0	     0
#         	phase3	     0	     0	     0	     0	     0	     0
#         	phase4	     0	     0	     0	     0	     0	     0
#         	phase5	     0	     0	     0	     0	     0	 29351
i,time,loss,ground_time,compile_time,eval_time
100,18.9513738155365,0.6712638091575355,0.0013491461753845355,0.0014825600624084382,0.00024197988510131865
200,40.98411250114441,0.4194462997859341,0.001571041107177754,0.0014134345531463491,0.0003082324981689454
300,59.37389636039734,0.1453984245367929,0.0013644521236419731,0.0013001910686492805,0.000228496074676514
400,82.67795300483704,0.09390803774126662,0.00141878962516786,0.0014737903594970638,0.0003101978302001963
500,100.11795020103455,0.0478656053169221,0.0013916337966919014,0.0013180351734161328,0.00022064886093139645
600,117.27922463417053,0.02501866152646246,0.0013745333671569954,0.00139485616683959,0.00022405204772949186
700,135.26278853416443,0.0307190896337398,0.0014156970977783371,0.0013208283424377368,0.0002711288452148447
800,159.96310758590698,0.03547281192301861,0.0015420750141143962,0.001527051925659168,0.00038631596565246584
900,176.87947940826416,0.046451310027262195,0.001401690053939832,0.0014760303020477227,0.0002377871513366705
1000,193.02886819839478,0.013597323059236737,0.0013891920566558914,0.0013084095478057796,0.0002256052970886224
1100,209.10398483276367,0.04133228266322945,0.0013825999736785987,0.0013003922939300461,0.0002226448535919184
1200,224.96387100219727,0.039303592966941886,0.0013933534145355365,0.0013461909294128342,0.00022292804718017663
1300,241.27841091156006,0.03388951981684849,0.0014112939357757745,0.001465035867691033,0.00023154196739196827
1400,260.94520926475525,0.023171361161908,0.001500970745086682,0.0015509258747100727,0.00034934835433959865
1500,282.25956320762634,0.040703287886308406,0.0015136161804199333,0.0013381506919860728,0.00037515096664428744
