#
#=== Dataset results ===
#
#Accuracy: 0.9988
#Micro F1: 0.9988 | Macro F1: 0.3330 | Weighted F1: 0.9984 | Overall FPR: 0.0002
#
#Per-class metrics:
#  [benign] P=0.9974 | R=0.9997 | F1=0.9985 | FPR=0.001869 | FNR=0.000335 | Support=20900
#  [phase1] P=0.0000 | R=0.0000 | F1=0.0000 | FPR=0.000000 | FNR=1.000000 | Support=8
#  [phase2] P=0.0000 | R=0.0000 | F1=0.0000 | FPR=0.000000 | FNR=1.000000 | Support=9
#  [phase3] P=0.0000 | R=0.0000 | F1=0.0000 | FPR=0.000000 | FNR=1.000000 | Support=14
#  [phase4] P=0.0000 | R=0.0000 | F1=0.0000 | FPR=0.000000 | FNR=1.000000 | Support=7
#  [phase5] P=0.9998 | R=0.9994 | F1=0.9996 | FPR=0.000334 | FNR=0.000578 | Support=29389
#Confusion Matrix:
#         	      	      	      	Actual	      	      	      
#         	      	benign	phase1	phase2	phase3	phase4	phase5
#         	benign	 20893	     8	     9	    14	     7	    17
#         	phase1	     0	     0	     0	     0	     0	     0
#Predicted	phase2	     0	     0	     0	     0	     0	     0
#         	phase3	     0	     0	     0	     0	     0	     0
#         	phase4	     0	     0	     0	     0	     0	     0
#         	phase5	     7	     0	     0	     0	     0	 29372
i,time,loss,ground_time,compile_time,eval_time
100,16.618970155715942,0.671785561721772,0.0014037650108337401,0.00021128458976745585,0.00021256332397460938
200,29.38417410850525,0.454648104859516,0.0011058859825134294,0.00018804039955139205,0.00018046369552612314
300,47.03836250305176,0.1462573594629066,0.001541607236862179,0.00021478080749511778,0.00024594783782958934
400,66.45614719390869,0.06979775534069631,0.0014571848869323674,0.00023515925407409702,0.0002976587772369391
500,84.49490332603455,0.026145869925094302,0.0016250788688659662,0.00022172055244445738,0.00024618697166442884
600,101.9762396812439,0.013798207807412836,0.0013789930820465122,0.00022431826591491643,0.00027142987251281726
700,123.94031238555908,0.010601317848777398,0.001592531967163086,0.0002609024047851556,0.00036025424003601164
800,147.56378364562988,0.01057408720778767,0.001963882160186768,0.00025190882682800267,0.00037300353050232046
900,167.50011277198792,0.008916035229813133,0.0014937895298004094,0.00024017677307128896,0.0003401182174682623
1000,181.90523982048035,0.01122120321409966,0.0012481999397277832,0.00023275437355041386,0.00020792169570922796
1100,193.58400130271912,0.007242504101250233,0.0011094004154205343,0.0002494496822357175,0.00017041659355163487
1200,212.9050316810608,0.004422798242248973,0.0018148844718933125,0.0003021625518798825,0.0002654979705810546
1300,231.79956316947937,0.006951818385650768,0.0014260033607482903,0.00031404786109924185,0.0003195558547973627
1400,246.95394086837769,0.007840249884466174,0.0012541528701782204,0.00028164343833923333,0.000240061616897582
1500,268.43978786468506,0.006112791416298933,0.0015727616786956778,0.00034242439270019476,0.00035548720359802324
