#=== darpa_flags_pretrained_up_w100 ===
#
#Metrics:
#  Accuracy: 0.9994 | Macro Precision: 0.9695 | Macro Recall: 0.7688 | Macro F1: 0.8421
#  False Alarms: 2 | False Alarm Rate: 0.0001
#  Missed Attacks: 27 | Detection Rate: 0.9991
#
#Per-Class Metrics:
#  [phase1] P=1.0000 | R=0.8750 | F1=0.9333 | 
#  [phase2] P=1.0000 | R=0.6667 | F1=0.8000 | 
#  [phase3] P=0.8182 | R=0.6429 | F1=0.7200 | 
#  [phase4] P=1.0000 | R=0.4286 | F1=0.6000 | 
#  [phase5] P=1.0000 | R=0.9995 | F1=0.9998 | 
#
#Confusion Matrix:
#         	      	      	      	Actual	      	      	      
#         	      	benign	phase1	phase2	phase3	phase4	phase5
#         	benign	 20862	     1	     3	     5	     4	    14
#         	phase1	     0	     7	     0	     0	     0	     0
#Predicted	phase2	     0	     0	     6	     0	     0	     0
#         	phase3	     2	     0	     0	     9	     0	     0
#         	phase4	     0	     0	     0	     0	     3	     0
#         	phase5	     0	     0	     0	     0	     0	 29375
i,time,loss,ground_time,compile_time,eval_time
100,21.709120988845825,0.0006935430722001312,0.001023251533508288,0.0043579621791839055,0.00034255785942077706
200,43.84919452667236,0.0021502221984333225,0.0010824827194213745,0.004070029830932579,0.00033336825370788593
300,64.69093942642212,0.0010961684169258823,0.001057234716415393,0.00420499701499935,0.00028525376319885363
400,85.15815091133118,0.0001503551053888641,0.0010456391811370723,0.00429123296737666,0.00028174457550048804
500,105.8989851474762,0.0017646146224131632,0.001060492706298812,0.004331053256988477,0.00028463034629821777
600,120.32397413253784,0.00020709522454833706,0.0009797349929809487,0.004194108057022064,0.00020296344757080097
700,140.31963229179382,0.00017067931990133234,0.0010661172389984015,0.004192289924621549,0.0003858224868774418
800,158.92173266410828,0.00018474433940154577,0.0010736130237579198,0.004332462024688668,0.0002834838390350347
900,179.86223554611206,0.000917799817514564,0.0010807997703552123,0.004352827405929523,0.00030145664215087845
1000,198.5122470855713,0.000198716673762267,0.001052005481719958,0.004198670959472615,0.0002666508674621593
1100,216.10871243476868,0.0016939062233363167,0.0010387055873870717,0.004338859701156567,0.00025232896804809634
1200,234.79507780075073,0.00044240018047516874,0.0010498165130615078,0.004218168878555254,0.00028035869598388725
1300,249.56618785858154,0.0012508351357592607,0.0012411895275115839,0.004234569120407063,0.0002208590984344481
1400,266.62957859039307,0.0013946424505539112,0.0010348133563995272,0.0043286416053771445,0.00028861293792724617
1500,284.3867678642273,0.0025287509963641884,0.0010249681949615328,0.004254005908966036,0.00028416934013366675
1600,304.3310663700104,0.00018644510628805787,0.0010488591670989858,0.004312485551834056,0.00029030289649963363
1700,323.8547787666321,0.0021323591994135737,0.0010838699817657335,0.004312668895721396,0.0003072723388671867
1800,341.0421600341797,0.001314475991019317,0.0010263933658599734,0.004370716142654368,0.0002542877674102786
1900,358.1500244140625,0.0018793267854337792,0.001043269395828236,0.004344692802429147,0.0002577849388122562
2000,373.27204179763794,0.0014135449124478305,0.0010323826313018655,0.0042583865165709955,0.00022756810188293445
2100,387.89830493927,0.0010863225246875708,0.0010392683506011851,0.004250958871841381,0.00025728178024292023
2200,407.5021884441376,0.0008925670612266412,0.0010498250007629289,0.004326919889450025,0.00032556896209716933
2300,427.0914659500122,0.0012384865918811162,0.0010636116981506188,0.004175707626342745,0.0003037334442138676
