#=== darpa_flags_neg_pretrained_original_w10 ===
#
#Metrics:
#  Accuracy: 0.9995 | Macro Precision: 0.8673 | Macro Recall: 0.9348 | Macro F1: 0.8950
#  Number of False Alarms: 10 | False Alarm Rate: 0.0005
#
#Per-Class Metrics:
#  [phase1] P=1.0000 | R=1.0000 | F1=1.0000 | 
#  [phase2] P=0.6154 | R=0.8889 | F1=0.7273 | 
#  [phase3] P=0.8462 | R=0.7857 | F1=0.8148 | 
#  [phase4] P=0.8750 | R=1.0000 | F1=0.9333 | 
#  [phase5] P=0.9999 | R=0.9996 | F1=0.9997 | 
#
#Confusion Matrix:
#         	      	      	      	Actual	      	      	      
#         	      	benign	phase1	phase2	phase3	phase4	phase5
#         	benign	 20890	     0	     1	     3	     0	    13
#         	phase1	     0	     8	     0	     0	     0	     0
#Predicted	phase2	     5	     0	     8	     0	     0	     0
#         	phase3	     2	     0	     0	    11	     0	     0
#         	phase4	     1	     0	     0	     0	     7	     0
#         	phase5	     2	     0	     0	     0	     0	 29376
i,time,loss,ground_time,compile_time,eval_time
100,12.371785402297974,0.0013013995954583835,0.000970585060119629,0.00018706860542297383,0.00017071571350097642
200,24.745476484298706,0.000639631784651793,0.0009545170783996637,0.00018052697181701618,0.0002064579486846915
300,37.09194803237915,0.0028288108269225965,0.0011245862007141121,0.0001826058864593505,0.00018987298011779834
400,48.21980023384094,0.004898529611681262,0.0009983923912048353,0.00018383178710937447,0.00018614640235900843
500,59.24224305152893,0.0022165876657039307,0.0009979135990142822,0.00018338513374328676,0.00018761606216430605
600,71.23739886283875,0.0027693828667712792,0.0011856373310089158,0.0001838566780090332,0.00018940582275390593
700,82.9041645526886,0.0015930838156066995,0.0010040569305419936,0.00018439159393310572,0.00020804247856140198
800,96.31145024299622,0.0018895930585233044,0.0010345470905303957,0.0001906692981719976,0.00023562102317810002
900,113.72344446182251,0.0017552210991257878,0.0011721730232238767,0.00021223788261413582,0.0002836900234222409
1000,132.55526113510132,0.0010981727087054894,0.0012610342025756865,0.0002653483390808098,0.00035596342086792
1100,146.5356993675232,0.002123615214454093,0.0011132267951965342,0.0002838304042816171,0.00024320993423461904
1200,162.40555429458618,0.0030426008860632626,0.0011747319698333725,0.00029826550483703684,0.00027085227966308536
1300,179.8879370689392,0.001070799559609803,0.001422964143753045,0.00028830294609069905,0.000295216464996337
1400,192.23089838027954,0.001550215229059151,0.001033572053909301,0.0002628485679626473,0.00020575599670410113
1500,208.56184935569763,0.0029216999204694006,0.001106239795684814,0.0002835439205169688,0.00028461661338806084
