#
#=== Dataset results ===
#
#Accuracy: 0.9983
#Micro F1: 0.9983 | Macro F1: 0.7355 | Weighted F1: 0.9987
#
#Per-class metrics:
#  [benign] P=0.9991 | R=0.9968 | F1=0.9980 | Support=20900
#  [phase1] P=0.7273 | R=1.0000 | F1=0.8421 | Support=8
#  [phase2] P=0.2432 | R=1.0000 | F1=0.3913 | Support=9
#  [phase3] P=0.7368 | R=1.0000 | F1=0.8485 | Support=14
#  [phase4] P=0.2069 | R=0.8571 | F1=0.3333 | Support=7
#  [phase5] P=0.9998 | R=0.9994 | F1=0.9996 | Support=29389
#Confusion Matrix:
#         	      	      	      	Actual	      	      	      
#         	      	benign	phase1	phase2	phase3	phase4	phase5
#         	benign	 20834	     0	     0	     0	     1	    17
#         	phase1	     3	     8	     0	     0	     0	     0
#Predicted	phase2	    28	     0	     9	     0	     0	     0
#         	phase3	     5	     0	     0	    14	     0	     0
#         	phase4	    23	     0	     0	     0	     6	     0
#         	phase5	     7	     0	     0	     0	     0	 29372
i,time,loss,ground_time,compile_time,eval_time
100,9.371929407119751,0.5625022236711509,0.002130540704727161,0.002222695255279511,0.00025746021270752037
200,16.640886306762695,0.33690628614308915,0.00211817674636839,0.0021423797130584524,0.00019280538558959906
300,24.198641300201416,0.19091655121782655,0.002153758335113506,0.00207732939720152,0.0002031229019165043
400,35.72607421875,0.1375203598744398,0.0021583500385284303,0.0021214775085449038,0.00031483364105224605
500,47.725159645080566,0.1316164214264577,0.0022351395130157433,0.0021663180828094186,0.0003361672878265377
600,59.476704120635986,0.10688412944799815,0.0021374387741088688,0.0021317081451415775,0.0003298092842102043
700,72.82978701591492,0.10667306421617245,0.0022431317806243804,0.00207821450233457,0.00037273678779602105
800,80.39005470275879,0.09761760455437475,0.0021403229236602607,0.0021341984272002954,0.00020543289184570365
900,87.41206932067871,0.09164585339125772,0.002214460849761955,0.0023626533508300522,0.0001940855979919435
1000,98.25181722640991,0.09177267537831685,0.0022030924797058057,0.002185841464996308,0.0003023288249969482
1100,107.40601944923401,0.09096810562277739,0.0021926119327545044,0.0020849190235137636,0.00026120629310607884
1200,119.3629367351532,0.08396840996184636,0.0022395094871520897,0.00230566434860227,0.0003376914501190187
1300,131.6631121635437,0.08594498595866129,0.0022547122955322153,0.0021961909770965315,0.0003349444866180424
1400,143.7178671360016,0.07666609510666336,0.0022447865009307803,0.002249710273742652,0.0003337528705596908
1500,159.83435916900635,0.07950467540214196,0.0029326020717620744,0.002074195003509505,0.0003435474395751953
1600,169.4388611316681,0.07624568865579308,0.002287613582611071,0.002336008024215667,0.0002671613693237301
1700,176.8509407043457,0.07218264749478084,0.00220338821411132,0.0022967198371887008,0.00020189228057861358
1800,188.54763317108154,0.06779194251315096,0.002170693254470811,0.0021584218502044518,0.0003221472263336184
1900,200.83777379989624,0.06586785543580351,0.002201448535919184,0.0021889039516448747,0.0003324464797973634
2000,213.0676417350769,0.0686188082111521,0.0022602403640746855,0.002106906175613386,0.00033222002983093296
2100,225.39193987846375,0.0651505474661611,0.002299426651000969,0.002266556882858256,0.00033286061286926167
2200,236.85797238349915,0.06260940232180966,0.0022711693286895608,0.002201310729980437,0.0003093787193298345
2300,246.39285588264465,0.06006374324423727,0.0021418396472930802,0.0021961899757385055,0.0002579686641693112
2400,258.6888234615326,0.06222329755564356,0.002203110599517806,0.0020406185626983416,0.00033265585899352996
2500,270.99519968032837,0.060947733333791485,0.0022061287879943684,0.002142343044280985,0.00033361916542053226
2600,283.3260009288788,0.058408131798617854,0.0022302314758300716,0.0023319612026214283,0.00033408670425415015
2700,296.16032910346985,0.05745310625668645,0.0022102928638458195,0.002206288290023782,0.0003474483966827391
2800,308.4854407310486,0.06006297253654862,0.0022168683052062863,0.0021455792427062703,0.0003339358806610103
2900,321.0615816116333,0.05590789984968632,0.0022416522979736182,0.002195253181457496,0.0003469536781311031
3000,333.3767521381378,0.05696044243991952,0.002192039728164666,0.0021407736778258986,0.00033325862884521463
3100,344.3975625038147,0.05509674689732304,0.0022027500152587824,0.0021068098068237097,0.00030717635154724166
3200,352.66246485710144,0.05834317887308651,0.002129051017761223,0.002229662895202611,0.00022333226203918494
3300,364.12716722488403,0.05447665575264654,0.0022120934009551836,0.002289289808273292,0.00030877432823181233
3400,380.94818472862244,0.059167474974841164,0.003150291109085076,0.002189821434020977,0.00033847532272338916
3500,392.7089424133301,0.05492782753445124,0.0022822074890136487,0.002070003652572612,0.00032468051910400413
3600,405.66274976730347,0.057026345540170914,0.0022658440589904748,0.00222380390167234,0.000357047796249389
3700,419.3732178211212,0.05593465926170979,0.0022916837215423477,0.0023256863117217786,0.000368091630935669
3800,430.3032717704773,0.05391589710388198,0.0023267952919006156,0.0023168206214904505,0.00029525766372680626
3900,443.09238481521606,0.053078598626591006,0.002261728811264026,0.0023109566688537387,0.00033906869888305726
4000,456.777152299881,0.052669369556537074,0.00226719894409179,0.002340027713775611,0.0003492160320281979
4100,470.12197256088257,0.05522411044593012,0.002214734363555898,0.0022396267890929964,0.000349090194702149
4200,483.0195276737213,0.05659825786146863,0.0023196771621704017,0.0023338400840759014,0.0003367734432220456
4300,494.9945945739746,0.05392887026710577,0.002256823205947868,0.002229028224945043,0.0003259841918945307
4400,507.90718626976013,0.05619025431556602,0.0022483451366424436,0.002331519746780371,0.00033809208869934
4500,522.0470089912415,0.05379958984760763,0.0022263846397399794,0.002230875730514505,0.00038378434181213255
4600,535.2133023738861,0.05256692917146692,0.0022701802730560163,0.0023172450542449687,0.0003418244361877442
4700,548.6922478675842,0.054164399883863006,0.002229587411880482,0.0022250168323516635,0.00034711828231811625
4800,561.8808062076569,0.05429496233640598,0.002245630979537946,0.002150837612152081,0.00034440398216247593
4900,574.9496595859528,0.05443416617452521,0.0021863484382629223,0.0020808153629302702,0.00034346742630004867
5000,587.8246066570282,0.05450548660607163,0.00227619385719298,0.0022388176441192386,0.0003408792495727544
