#=== darpa_neg_scratch_original_w100 ===
#
#Metrics:
#  Accuracy: 0.9991 | Macro Precision: 0.9788 | Macro Recall: 0.9389 | Macro F1: 0.9575
#  False Alarms: 1 | False Alarm Rate: 0.0000
#  Missed Attacks: 42 | Detection Rate: 0.9986
#
#Per-Class Metrics:
#  [phase1] P=1.0000 | R=1.0000 | F1=1.0000 | 
#  [phase2] P=0.8750 | R=0.7778 | F1=0.8235 | 
#  [phase3] P=1.0000 | R=0.8571 | F1=0.9231 | 
#  [phase4] P=1.0000 | R=1.0000 | F1=1.0000 | 
#  [phase5] P=1.0000 | R=0.9987 | F1=0.9994 | 
#
#Confusion Matrix:
#         	      	      	      	Actual	      	      	      
#         	      	benign	phase1	phase2	phase3	phase4	phase5
#         	benign	 20863	     0	     2	     2	     0	    38
#         	phase1	     0	     8	     0	     0	     0	     0
#Predicted	phase2	     1	     0	     7	     0	     0	     0
#         	phase3	     0	     0	     0	    12	     0	     0
#         	phase4	     0	     0	     0	     0	     7	     0
#         	phase5	     0	     0	     0	     0	     0	 29351
i,time,loss,ground_time,compile_time,eval_time
100,13.538614749908447,0.42117470097873067,0.0010716669559478922,0.002147466564178509,0.00016182360649108932
200,27.633087396621704,0.17451951992648046,0.0012098627090454323,0.0021289815425873243,0.00017222843170166036
300,41.0159592628479,0.04203993764073056,0.0011204048156738472,0.002319532346725521,0.00017322731018066381
400,57.4284770488739,0.018819211593784836,0.0014173133373260676,0.0021800694465637623,0.0002122344493865968
500,68.98661613464355,0.021050632871230008,0.0010753358840942554,0.002196381664276168,0.00014821667671203613
600,84.78398108482361,0.019304016263807917,0.0012873663902282955,0.002315878152847338,0.00023158464431762699
700,98.03472256660461,0.007924809902733991,0.00121656699180605,0.0022087952613830987,0.00020856666564941385
800,109.64439296722412,0.04061672319915515,0.001148771572113053,0.0022200988292694636,0.00015877361297607432
900,121.62075901031494,0.01850291939821904,0.0013275764942169415,0.0021417870521545927,0.00015988850593566897
1000,131.79351210594177,0.017898788852963133,0.0011170063495636146,0.0021045808792114705,0.00015384259223937975
1100,141.4293715953827,0.03403632151146267,0.0011138372421264867,0.0023816079616547177,0.00015170302391052245
1200,150.92651319503784,0.017663801432326365,0.0012376269817352488,0.0022761184215546204,0.0001517518520355225
1300,160.38698959350586,0.011910407794217915,0.00112372865676882,0.0021985542297363776,0.00015266819000244155
1400,170.2239429950714,0.028407716476303083,0.0013650972366333258,0.00228231310844426,0.00016164894104003943
1500,181.59731793403625,0.011916683430456834,0.0011719056129455762,0.0022035043716431123,0.00016951122283935467
