#=== darpa_one_net_scratch_up_w10 ===
#
#Metrics:
#  Accuracy: 0.9992 | Macro Precision: 0.9789 | Macro Recall: 0.9879 | Macro F1: 0.9824
#  False Alarms: 1 | False Alarm Rate: 0.0000
#  Missed Attacks: 39 | Detection Rate: 0.9987
#
#Per-Class Metrics:
#  [phase1] P=1.0000 | R=1.0000 | F1=1.0000 | 
#  [phase2] P=1.0000 | R=1.0000 | F1=1.0000 | 
#  [phase3] P=1.0000 | R=0.9286 | F1=0.9630 | 
#  [phase4] P=0.8750 | R=1.0000 | F1=0.9333 | 
#  [phase5] P=1.0000 | R=0.9987 | F1=0.9994 | 
#
#Confusion Matrix:
#         	      	      	      	Actual	      	      	      
#         	      	benign	phase1	phase2	phase3	phase4	phase5
#         	benign	 20899	     0	     0	     1	     0	    38
#         	phase1	     0	     8	     0	     0	     0	     0
#Predicted	phase2	     0	     0	     9	     0	     0	     0
#         	phase3	     0	     0	     0	    13	     0	     0
#         	phase4	     1	     0	     0	     0	     7	     0
#         	phase5	     0	     0	     0	     0	     0	 29351
i,time,loss,ground_time,compile_time,eval_time
100,10.183711767196655,1.2431681765940934,0.0015343538284301652,0.00017996411323547488,0.0001953388214111318
200,19.496232271194458,1.0002833065745542,0.001413992547988875,0.0001803140640258804,0.00019007005691528341
300,27.123107433319092,0.825857655136208,0.0013536488533019819,0.0001707380771636976,0.00016717424392700175
400,36.006062746047974,0.921773412305384,0.0013921917915344067,0.00017581086158752557,0.00018169474601745578
500,44.70055556297302,0.787177283972444,0.0013945916652679275,0.0001778378963470467,0.00018038840293884244
600,52.87882900238037,0.8194554438122285,0.001547877407073965,0.0001722994327545179,0.0001671713829040531
700,60.153427600860596,0.8245287339285501,0.001348622655868508,0.00017387409210205254,0.00016753683090209962
800,68.21395969390869,0.780064644671807,0.0013960172653198113,0.0001773154735565205,0.000184128046035767
900,74.71323490142822,0.8019646360628419,0.0013526273250579661,0.00016930670738220344,0.0001570491790771484
1000,80.89224362373352,0.7756523803198683,0.0013290507316589151,0.0001673780918121359,0.00014770040512084926
1100,87.7486321926117,0.7851883537036731,0.0015012193679809411,0.00017199835777282916,0.00016920895576476983
1200,97.5146152973175,0.8348468913250467,0.0014865164279937574,0.00018790526390075784,0.00026053895950317406
1300,107.68578791618347,0.7684739629912574,0.0015118741989135584,0.00019318184852600202,0.0002789308071136478
1400,116.82045340538025,0.8307857388427871,0.0016735762596130303,0.00018168745040893686,0.0002275720596313481
1500,124.39122009277344,0.7241974599276061,0.0014367136001586776,0.0001787515640258801,0.00020604410171508756
1600,131.94143390655518,0.8015286539585661,0.0014109942913055208,0.00017843723297119308,0.00021179690361022946
1700,138.99364137649536,0.8567601625342414,0.0014101774215698063,0.00017570967674255508,0.00020087876319885273
1800,145.8825273513794,0.7462127337553557,0.0014196143150329446,0.0001750785350799577,0.00019897127151489118
1900,152.64666557312012,0.6688265120230014,0.0014191390037536417,0.0001812192440032975,0.0001850958347320561
2000,158.65084075927734,0.7627505671494306,0.0014212091922759813,0.00017431850433349805,0.00016948084831237782
2100,164.94674611091614,0.8968045468614217,0.0013886225223541104,0.00017385420799255542,0.00017637920379638648
2200,170.91601705551147,0.8677382250019872,0.001398693752288807,0.0001753858566284201,0.00017083101272583068
2300,176.91545343399048,0.8179878135714305,0.0015642881870269645,0.0001736259460449236,0.00017158970832824714
