#
#=== Dataset results ===
#
#Accuracy: 0.9995 | Macro F1: 0.9344 | Weighted F1: 0.9996
#
#Security Metrics:
#  False Alarm Rate: 0.000239
#  Attack Detection Rate: 0.999388
#  Missed Attack Rate: 0.000612
#
#Per-class metrics:
#  [benign] P=0.9991 | R=0.9998 | F1=0.9994 | FPR=0.000612 | FNR=0.000239
#  [phase1] P=1.0000 | R=1.0000 | F1=1.0000 | FPR=0.000000 | FNR=0.000000
#  [phase2] P=0.6154 | R=0.8889 | F1=0.7273 | FPR=0.000099 | FNR=0.111111
#  [phase3] P=1.0000 | R=0.7857 | F1=0.8800 | FPR=0.000000 | FNR=0.214286
#  [phase4] P=1.0000 | R=1.0000 | F1=1.0000 | FPR=0.000000 | FNR=0.000000
#  [phase5] P=1.0000 | R=0.9995 | F1=0.9998 | FPR=0.000000 | FNR=0.000476
#Confusion Matrix:
#         	      	      	      	Actual	      	      	      
#         	      	benign	phase1	phase2	phase3	phase4	phase5
#         	benign	 20895	     0	     1	     3	     0	    14
#         	phase1	     0	     8	     0	     0	     0	     0
#Predicted	phase2	     5	     0	     8	     0	     0	     0
#         	phase3	     0	     0	     0	    11	     0	     0
#         	phase4	     0	     0	     0	     0	     7	     0
#         	phase5	     0	     0	     0	     0	     0	 29375
i,time,loss,ground_time,compile_time,eval_time
100,10.503764390945435,0.0009447517449822211,0.0010570272445678654,0.0001733378410339318,0.00016604876518249494
200,21.000091552734375,0.0007575302646430145,0.001107756042480467,0.00018968296051024975,0.00017506318092346242
300,35.65446710586548,7.613278836333705e-05,0.0013620612144470091,0.0002164547443389849,0.00025092782974243125
400,49.31932210922241,0.0036409930132696765,0.0012586213111877426,0.00021879081726073688,0.00025635404586792055
500,63.937241315841675,0.003877839555534979,0.0013222680568694993,0.00022460465431212894,0.00033047719001769963
600,74.46812963485718,0.002258631663404447,0.001319563961029041,0.000200598716735836,0.00020449647903442365
700,84.06947827339172,0.002525566490859002,0.0011558767318725592,0.0001979564189910844,0.00019492721557617137
800,93.72600793838501,0.002911379742153555,0.0011563947200775157,0.00019840388298034186,0.00019677867889404243
900,101.32506561279297,0.0014809233829259155,0.0011267289638519267,0.00019112086296081105,0.00017065224647521955
1000,108.8859531879425,0.001080293709035173,0.001103989124298092,0.0001878673076629594,0.0001734135627746581
1100,116.61597633361816,0.0006710047587316477,0.0011317968845367405,0.00019138169288634868,0.00017307739257812482
1200,126.30451011657715,0.008137084553265174,0.001329904079437246,0.00019754137992858433,0.00018673300743103017
1300,134.22722816467285,0.012198710205143735,0.0011394309997558585,0.00019482593536376494,0.00018324041366577212
1400,140.82477927207947,0.0032846535155447052,0.0011201337337493867,0.00019030585289001007,0.00016786060333251953
1500,147.57453966140747,0.012603210890658887,0.0011247021675109862,0.00019140925407409187,0.00017536640167236287
