#
#=== Dataset results ===
#
#Accuracy: 0.9991 | Macro F1: 0.9824 | Weighted F1: 0.9991
#
#Security Metrics:
#  False Alarm Rate: 0.000048
#  Attack Detection Rate: 0.998539
#  Missed Attack Rate: 0.001461
#
#Per-class metrics:
#  [benign] P=0.9979 | R=1.0000 | F1=0.9989 | FPR=0.001461 | FNR=0.000048
#  [phase1] P=1.0000 | R=1.0000 | F1=1.0000 | FPR=0.000000 | FNR=0.000000
#  [phase2] P=1.0000 | R=1.0000 | F1=1.0000 | FPR=0.000000 | FNR=0.000000
#  [phase3] P=1.0000 | R=0.9286 | F1=0.9630 | FPR=0.000000 | FNR=0.071429
#  [phase4] P=0.8750 | R=1.0000 | F1=0.9333 | FPR=0.000020 | FNR=0.000000
#  [phase5] P=1.0000 | R=0.9986 | F1=0.9993 | FPR=0.000000 | FNR=0.001429
#Confusion Matrix:
#         	      	      	      	Actual	      	      	      
#         	      	benign	phase1	phase2	phase3	phase4	phase5
#         	benign	 20899	     0	     0	     1	     0	    42
#         	phase1	     0	     8	     0	     0	     0	     0
#Predicted	phase2	     0	     0	     9	     0	     0	     0
#         	phase3	     0	     0	     0	    13	     0	     0
#         	phase4	     1	     0	     0	     0	     7	     0
#         	phase5	     0	     0	     0	     0	     0	 29347
i,time,loss,ground_time,compile_time,eval_time
100,13.242190837860107,1.2868857861307434,0.001444408416748048,0.00018640961647033632,0.00014476408958435046
200,31.159250020980835,0.9557442323919845,0.001654601716995239,0.00022459406852722214,0.000249912691116333
300,49.12644338607788,0.8927276759028909,0.0019095942497253408,0.0002339159965515136,0.0002397710323333747
400,64.14380025863647,0.8993790029562103,0.00160191593170166,0.00021768984794616708,0.00020904049873352037
500,78.47305297851562,0.7755374227217026,0.001572783327102665,0.00021008868217468297,0.00019307556152343814
600,93.11775350570679,0.76176194177985,0.001758082866668697,0.0002001498222351075,0.00018822264671325656
700,107.19275188446045,0.7883913894856727,0.0015877807140350312,0.00020910058021545398,0.00019385781288146917
800,122.06668066978455,0.8257154455524837,0.0015935180187225332,0.00021033411026000936,0.00021668162345886202
900,139.455384016037,0.8311374195847604,0.0019847364425659175,0.00024121055603027345,0.00022666568756103483
1000,154.24879240989685,0.7748803403124382,0.0015159905433654742,0.0002793074131011956,0.0002159508705139161
1100,167.66704869270325,0.8026407636890717,0.0015570956230163565,0.00028670001029968166,0.00018430142402648907
1200,182.25681471824646,0.7036997533785276,0.0015527935981750488,0.000284604167938232,0.0002205608367919927
1300,194.54722690582275,0.8144866426579819,0.001496830844879147,0.00027261552810668916,0.00017146339416503905
1400,211.1081600189209,0.8252818637448565,0.0019910054206848053,0.000294856882095337,0.0002093557357788088
1500,224.8266954421997,0.6979711079212049,0.0015364245414733902,0.0002788347244262693,0.00020729722976684653
1600,238.97261118888855,0.9019060027172265,0.0018381914138793972,0.00028991427421569914,0.00020678629875183128
1700,256.00467133522034,0.8649974892274186,0.0016425045013427728,0.0003025115966796878,0.00025259542465209896
1800,269.8306336402893,0.7139394186163968,0.0015127434730529798,0.0002764185428619386,0.00021886878013610824
1900,284.49742555618286,0.9298905050322352,0.0019564905643463183,0.00027215251922607414,0.00017123570442199713
2000,297.7037546634674,0.7585298318126035,0.0015383893013000472,0.00027926998138427795,0.00019691667556762666
2100,312.36247158050537,0.8959643407440536,0.0016103791713714564,0.00029202265739440895,0.00022704339027404793
2200,326.96743083000183,0.8630094050615039,0.0016417098999023413,0.000309750127792358,0.00021704258918762154
2300,340.6531219482422,0.7810813673505876,0.0015937398910522455,0.00029527564048767186,0.00019911236763000466
