#
#=== Dataset results ===
#
#Accuracy: 0.9983
#Micro F1: 0.9983 | Macro F1: 0.7014 | Weighted F1: 0.9986
#
#Per-class metrics:
#  [benign] P=0.9989 | R=0.9969 | F1=0.9979 | Support=20900
#  [phase1] P=0.8000 | R=1.0000 | F1=0.8889 | Support=8
#  [phase2] P=0.2105 | R=0.4444 | F1=0.2857 | Support=9
#  [phase3] P=0.5600 | R=1.0000 | F1=0.7179 | Support=14
#  [phase4] P=0.1892 | R=1.0000 | F1=0.3182 | Support=7
#  [phase5] P=0.9998 | R=0.9994 | F1=0.9996 | Support=29389
#Confusion Matrix:
#         	      	      	      	Actual	      	      	      
#         	      	benign	phase1	phase2	phase3	phase4	phase5
#         	benign	 20836	     0	     5	     0	     0	    17
#         	phase1	     2	     8	     0	     0	     0	     0
#Predicted	phase2	    15	     0	     4	     0	     0	     0
#         	phase3	    11	     0	     0	    14	     0	     0
#         	phase4	    30	     0	     0	     0	     7	     0
#         	phase5	     6	     0	     0	     0	     0	 29372
i,time,loss,ground_time,compile_time,eval_time
100,15.114758729934692,1.959020443060043,0.0030713263988495286,0.005357876682281505,0.00037719244956970236
200,31.519251823425293,1.764274830090514,0.0031205336570740037,0.005556743526458734,0.00042171354293823326
300,49.13305711746216,1.6656910896396058,0.0031823565006256433,0.0055818774223327546,0.0004704538345336918
400,69.23122835159302,1.5688593861191862,0.0037570166587830344,0.005445379257202144,0.00045020318031311013
500,82.98263359069824,1.4997615969272267,0.0031402666091919196,0.005445958614349362,0.00036999826431274315
600,102.92687964439392,1.404992795985911,0.0033165643215179773,0.0051320287227630875,0.0005458912372589111
700,123.04521632194519,1.5564560190821732,0.0030958224296570237,0.005171295928955096,0.0005609972953796371
800,139.97933387756348,1.42006193781149,0.0032611217021942603,0.005495656824111922,0.00047921285629272544
900,155.42692065238953,1.4832300710859427,0.0030710428714752513,0.005547235012054435,0.0004256013393402094
1000,175.97449731826782,1.6228441005398337,0.0032238511562347762,0.005434269809722909,0.0005720371246337892
1100,194.05453181266785,1.4435090646159574,0.0031912683010101787,0.005559859943389883,0.0004965190410614027
1200,204.97028636932373,1.663030066968495,0.0030087080478668517,0.005071275997161902,0.0003024736881256101
1300,219.20417428016663,1.5206651374999118,0.0031457436084747744,0.005356595897674577,0.00037897534370422267
1400,231.86982798576355,1.5495199487870677,0.003131214237213169,0.005535600090026851,0.00034847302436828676
1500,244.2354872226715,1.5950588101124987,0.002943281221389793,0.005183034420013449,0.00034023103713989167
1600,255.09532737731934,1.3795161219000895,0.003068383741378812,0.005102052211761502,0.0002987447261810309
1700,267.68793630599976,1.4423585351785528,0.003112918758392365,0.005627852869033823,0.0003496054649353025
1800,280.4638910293579,1.5385492648525956,0.0029379366874695057,0.005235531806945818,0.00035748229026794483
1900,298.43369817733765,1.4655089572698379,0.003926503038406404,0.005408195877075187,0.00048728823661804097
2000,313.1751778125763,1.508578656672392,0.0030361152172088996,0.005396966171264665,0.0004059319019317638
2100,328.51109194755554,1.590396315642473,0.0031543910980224936,0.005353170156478909,0.00042322196960449114
2200,344.96094131469727,1.481670524127505,0.0031226567268371917,0.005115178442001375,0.0004473428726196292
2300,366.47536754608154,1.742240844741544,0.0032443521022796993,0.005480205631256112,0.0006093523025512701
2400,382.139586687088,1.4625667741283623,0.003177605056762731,0.005229114151000996,0.00042847795486450075
2500,399.78179001808167,1.484890777651013,0.004125909900665424,0.005207462692260764,0.00034235663414001485
2600,416.74713706970215,1.532837892746915,0.0031219928264618222,0.005295308589935325,0.00047915134429931603
2700,438.03371477127075,1.544489253117339,0.0032398092269897904,0.005310976076126118,0.000611486387252807
2800,453.01331067085266,1.4089984051757927,0.0030479183673858875,0.005395524120330807,0.00042364358901977476
2900,462.4032971858978,1.5931288292753059,0.0030474920272827305,0.005411212682724,0.0002761250495910648
3000,479.91517329216003,1.5143000546648029,0.003059669256210361,0.005231003522872946,0.00048371233940124693
3100,490.8841710090637,1.42398681664562,0.003055327987670928,0.0053799504280090445,0.0003056416034698488
3200,504.09569692611694,1.4468669464153192,0.0031148852825165136,0.005334135389328021,0.00037036333084106414
3300,519.3997173309326,1.5751667499843263,0.0031321426868439056,0.005055806016922031,0.0004377778053283688
3400,533.9372410774231,1.5336013035943141,0.003159470272064238,0.0054144925117492896,0.00041419095993042073
3500,553.3834891319275,1.4598215883432497,0.0031000221729278856,0.005319282102584833,0.000549151611328126
3600,574.5701525211334,1.3864729272083915,0.0031278454303741727,0.005587117338180541,0.0006030044555664074
3700,595.6124539375305,1.432504304549302,0.003198224020004309,0.005394932985305785,0.0006066523551940925
3800,616.5372250080109,1.6559335358553953,0.003086751127243078,0.00542902989387512,0.0006016757488250722
3900,636.5200452804565,1.6114762953516444,0.0032460470199585454,0.0051996925830841145,0.0005816447257995604
