ts,rss_bytes,rss_mb,proc_cpu_percent,system_mem_percent,system_mem_available_mb
2026-05-26T09:06:03.743299+00:00Z,2361819136,2252.40625,99.4,35.2,41333.39453125
2026-05-26T09:06:04.764317+00:00Z,2574835712,2455.5546875,100.9,35.5,41104.7109375
2026-05-26T09:06:05.845707+00:00Z,2785787904,2656.734375,100.8,35.9,40832.015625
2026-05-26T09:06:06.911283+00:00Z,3002343424,2863.2578125,99.5,36.3,40622.5859375
2026-05-26T09:06:07.937549+00:00Z,3186278400,3038.671875,99.9,36.6,40406.8359375
2026-05-26T09:06:08.985752+00:00Z,3415281664,3257.06640625,100.3,36.8,40261.4375
2026-05-26T09:06:10.075592+00:00Z,3486932992,3325.3984375,99.4,36.9,40202.99609375
2026-05-26T09:06:11.082063+00:00Z,3700539392,3529.109375,100.4,37.3,39967.17578125
2026-05-26T09:06:12.139842+00:00Z,3917807616,3736.3125,100.3,37.6,39768.80078125
2026-05-26T09:06:13.202903+00:00Z,4130181120,3938.84765625,99.6,38.0,39551.8671875
2026-05-26T09:06:14.208605+00:00Z,4335697920,4134.84375,99.9,38.3,39351.34765625
2026-05-26T09:06:15.283207+00:00Z,4542513152,4332.078125,101.1,38.6,39152.28515625
2026-05-26T09:06:16.361598+00:00Z,4714807296,4496.390625,99.6,38.8,39031.46875
2026-05-26T09:06:17.414314+00:00Z,4894617600,4667.87109375,99.5,39.1,38830.83203125
2026-05-26T09:06:18.495652+00:00Z,5110415360,4873.671875,99.7,39.4,38650.33984375
2026-05-26T09:06:19.506299+00:00Z,5291126784,5046.01171875,99.9,39.7,38469.40625
2026-05-26T09:06:20.583080+00:00Z,5470056448,5216.65234375,99.8,39.9,38306.7109375
2026-05-26T09:06:21.640895+00:00Z,5656104960,5394.08203125,100.9,40.2,38131.8125
2026-05-26T09:06:22.686387+00:00Z,5843427328,5572.7265625,99.4,40.5,37952.5
2026-05-26T09:06:23.820096+00:00Z,5865517056,5593.79296875,101.4,40.5,37928.74609375
2026-05-26T09:06:24.895639+00:00Z,6048567296,5768.36328125,99.4,40.9,37671.3671875
2026-05-26T09:06:25.936290+00:00Z,6220955648,5932.765625,99.1,41.2,37474.92578125
2026-05-26T09:06:26.994767+00:00Z,6397698048,6101.3203125,100.4,41.5,37323.48046875
2026-05-26T09:06:28.079908+00:00Z,6578044928,6273.3125,99.7,41.7,37143.88671875
2026-05-26T09:06:29.167816+00:00Z,6760894464,6447.69140625,101.5,42.0,36971.328125
2026-05-26T09:06:30.249351+00:00Z,6937616384,6616.2265625,99.1,42.3,36799.95703125
2026-05-26T09:06:31.333517+00:00Z,7078690816,6750.765625,100.6,42.5,36671.62109375
2026-05-26T09:06:32.412057+00:00Z,7246303232,6910.61328125,100.8,42.7,36548.7890625
2026-05-26T09:06:33.478563+00:00Z,7402991616,7060.04296875,100.0,42.9,36406.421875
2026-05-26T09:06:34.570877+00:00Z,7555321856,7205.31640625,98.0,43.1,36251.66796875
2026-05-26T09:06:35.665143+00:00Z,7706447872,7349.44140625,101.5,43.4,36067.41796875
2026-05-26T09:06:36.741674+00:00Z,7845953536,7482.484375,100.4,43.7,35903.88671875
2026-05-26T09:06:37.858296+00:00Z,7856250880,7492.3046875,99.8,43.6,35929.1484375
2026-05-26T09:06:38.955866+00:00Z,7856259072,7492.3125,99.7,43.6,35927.75390625
2026-05-26T09:06:40.041358+00:00Z,7856259072,7492.3125,100.0,43.6,35929.25390625
2026-05-26T09:06:41.131272+00:00Z,7856263168,7492.31640625,99.3,43.6,35935.4296875
2026-05-26T09:06:42.228298+00:00Z,7856267264,7492.3203125,100.0,43.6,35939.2421875
2026-05-26T09:06:43.318866+00:00Z,7856267264,7492.3203125,100.5,43.6,35955.09765625
2026-05-26T09:06:44.473432+00:00Z,7856267264,7492.3203125,100.0,43.6,35967.41796875
2026-05-26T09:06:45.527267+00:00Z,7856562176,7492.6015625,100.1,43.6,35971.171875
2026-05-26T09:06:46.622644+00:00Z,7856562176,7492.6015625,99.9,43.8,35838.21484375
