ts,rss_bytes,rss_mb,proc_cpu_percent,system_mem_percent,system_mem_available_mb
2026-05-26T08:19:10.491677+00:00Z,2285256704,2179.390625,99.4,36.4,40543.828125
2026-05-26T08:19:11.514209+00:00Z,2389041152,2278.3671875,99.7,36.5,40477.65625
2026-05-26T08:19:12.529452+00:00Z,2489729024,2374.390625,100.4,36.7,40378.44140625
2026-05-26T08:19:13.536752+00:00Z,2611474432,2490.49609375,100.8,36.8,40265.05859375
2026-05-26T08:19:14.594270+00:00Z,2714808320,2589.04296875,99.8,37.0,40168.06640625
2026-05-26T08:19:15.603364+00:00Z,2839818240,2708.26171875,99.1,37.2,40048.453125
2026-05-26T08:19:16.610251+00:00Z,2965835776,2828.44140625,99.8,37.4,39927.99609375
2026-05-26T08:19:18.564950+00:00Z,3036188672,2895.53515625,100.6,37.5,39874.203125
2026-05-26T08:19:19.586212+00:00Z,3137081344,2991.75390625,98.9,37.6,39796.6015625
2026-05-26T08:19:20.603008+00:00Z,3256258560,3105.41015625,100.2,37.7,39692.7578125
2026-05-26T08:19:21.611330+00:00Z,3373772800,3217.48046875,100.0,37.9,39587.08203125
2026-05-26T08:19:22.631684+00:00Z,3491688448,3329.93359375,100.6,38.1,39468.61328125
2026-05-26T08:19:23.659833+00:00Z,3610984448,3443.703125,99.6,38.3,39358.62109375
2026-05-26T08:19:24.668251+00:00Z,3729637376,3556.859375,100.5,38.4,39248.49609375
2026-05-26T08:19:25.690685+00:00Z,3846651904,3668.453125,100.4,38.6,39136.6953125
2026-05-26T08:19:26.698314+00:00Z,3961835520,3778.30078125,98.9,38.8,39028.13671875
2026-05-26T08:19:27.705453+00:00Z,4063518720,3875.2734375,100.7,39.0,38899.5859375
2026-05-26T08:19:28.711566+00:00Z,4176773120,3983.28125,99.9,39.1,38824.7578125
2026-05-26T08:19:29.727691+00:00Z,4271353856,4073.48046875,99.9,39.2,38744.3671875
2026-05-26T08:19:30.733787+00:00Z,4383272960,4180.21484375,99.9,39.4,38634.765625
2026-05-26T08:19:31.754981+00:00Z,4480774144,4273.19921875,100.4,39.5,38559.74609375
2026-05-26T08:19:34.201034+00:00Z,4585619456,4373.1875,100.0,39.6,38476.28125
2026-05-26T08:19:35.215904+00:00Z,4678381568,4461.65234375,100.0,39.8,38392.515625
2026-05-26T08:19:36.231552+00:00Z,4794089472,4572.0,100.4,39.9,38292.546875
2026-05-26T08:19:37.238686+00:00Z,4909608960,4682.16796875,99.8,40.1,38181.6015625
2026-05-26T08:19:38.263793+00:00Z,5026111488,4793.2734375,100.0,40.3,38079.31640625
2026-05-26T08:19:39.264915+00:00Z,5114978304,4878.0234375,99.8,40.4,38013.4921875
2026-05-26T08:19:40.271841+00:00Z,5222031360,4980.1171875,99.4,40.5,37903.93359375
2026-05-26T08:19:41.282697+00:00Z,5310464000,5064.453125,101.4,40.6,37861.31640625
2026-05-26T08:19:42.299666+00:00Z,5421756416,5170.58984375,98.7,40.8,37755.22265625
2026-05-26T08:19:43.309485+00:00Z,5532487680,5276.19140625,100.9,40.9,37643.90625
2026-05-26T08:19:44.319906+00:00Z,5644292096,5382.81640625,99.8,41.1,37537.58203125
