ts,rss_bytes,rss_mb,proc_cpu_percent,system_mem_percent,system_mem_available_mb
2026-05-26T08:35:12.620164+00:00Z,2282872832,2177.1171875,99.9,36.8,40320.43359375
2026-05-26T08:35:13.626660+00:00Z,2378883072,2268.6796875,100.3,36.8,40305.10546875
2026-05-26T08:35:14.678696+00:00Z,2501775360,2385.87890625,99.8,37.1,40096.30078125
2026-05-26T08:35:15.687214+00:00Z,2617933824,2496.65625,99.6,37.4,39876.48828125
2026-05-26T08:35:16.714385+00:00Z,2728595456,2602.19140625,100.3,37.6,39778.51953125
2026-05-26T08:35:17.735509+00:00Z,2847203328,2715.3046875,99.9,37.7,39685.7734375
2026-05-26T08:35:18.746861+00:00Z,2960691200,2823.53515625,99.4,38.0,39546.04296875
2026-05-26T08:35:20.514686+00:00Z,3043307520,2902.32421875,100.4,38.1,39470.40625
2026-05-26T08:35:21.531122+00:00Z,3139448832,2994.01171875,99.9,38.2,39389.70703125
2026-05-26T08:35:22.532126+00:00Z,3256979456,3106.09765625,98.9,38.4,39276.52734375
2026-05-26T08:35:23.538520+00:00Z,3373105152,3216.84375,100.3,38.6,39110.09375
2026-05-26T08:35:24.549918+00:00Z,3464876032,3304.36328125,99.8,38.8,39025.6875
2026-05-26T08:35:25.556197+00:00Z,3576532992,3410.84765625,99.4,38.8,39036.0625
2026-05-26T08:35:26.562251+00:00Z,3687530496,3516.703125,100.4,39.0,38878.6015625
2026-05-26T08:35:27.563725+00:00Z,3798405120,3622.44140625,99.9,39.2,38775.94140625
2026-05-26T08:35:28.564852+00:00Z,3874668544,3695.171875,99.9,39.3,38696.8828125
2026-05-26T08:35:29.571578+00:00Z,3961819136,3778.28515625,99.8,39.6,38515.8984375
2026-05-26T08:35:30.582545+00:00Z,4056477696,3868.55859375,99.4,39.9,38327.5625
2026-05-26T08:35:31.602902+00:00Z,4143947776,3951.9765625,100.4,39.9,38301.56640625
2026-05-26T08:35:32.614165+00:00Z,4233670656,4037.54296875,99.4,39.9,38309.5546875
2026-05-26T08:35:33.640816+00:00Z,4336848896,4135.94140625,100.3,40.1,38163.5546875
2026-05-26T08:35:34.651879+00:00Z,4432670720,4227.32421875,100.3,40.2,38109.03515625
2026-05-26T08:35:35.665394+00:00Z,4536582144,4326.421875,100.2,40.4,37978.5390625
2026-05-26T08:35:37.692037+00:00Z,4599361536,4386.29296875,100.2,40.5,37960.82421875
2026-05-26T08:35:38.699686+00:00Z,4682141696,4465.23828125,98.8,40.5,37928.46484375
2026-05-26T08:35:39.713261+00:00Z,4785885184,4564.17578125,100.6,40.8,37745.921875
2026-05-26T08:35:40.743938+00:00Z,4891713536,4665.1015625,99.4,41.0,37640.41796875
2026-05-26T08:35:41.773544+00:00Z,4996640768,4765.16796875,100.5,41.0,37620.58203125
2026-05-26T08:35:42.802614+00:00Z,5101015040,4864.70703125,101.1,41.2,37466.75390625
2026-05-26T08:35:43.832492+00:00Z,5202997248,4961.96484375,99.1,41.4,37380.20703125
2026-05-26T08:35:44.854106+00:00Z,5304934400,5059.1796875,100.4,41.5,37282.7734375
2026-05-26T08:35:45.868709+00:00Z,5404246016,5153.890625,100.0,41.7,37178.7734375
2026-05-26T08:35:46.898324+00:00Z,5493145600,5238.671875,99.3,41.8,37094.14453125
2026-05-26T08:35:47.907482+00:00Z,5595869184,5336.63671875,100.4,42.0,36978.6328125
2026-05-26T08:35:48.908582+00:00Z,5687160832,5423.69921875,98.9,42.1,36888.66796875
2026-05-26T08:35:49.909790+00:00Z,5768986624,5501.734375,100.8,42.3,36798.03125
2026-05-26T08:35:50.912621+00:00Z,5863116800,5591.50390625,100.8,42.4,36723.38671875
2026-05-26T08:35:51.914140+00:00Z,5958664192,5682.625,98.8,42.6,36618.60546875
2026-05-26T08:35:52.917011+00:00Z,6054178816,5773.71484375,99.7,42.7,36541.375
2026-05-26T08:35:53.919026+00:00Z,6146076672,5861.35546875,100.7,42.8,36446.29296875
2026-05-26T08:35:54.922981+00:00Z,6238666752,5949.65625,99.7,42.9,36369.9140625
2026-05-26T08:35:55.925354+00:00Z,6331731968,6038.41015625,99.7,43.1,36276.265625
2026-05-26T08:35:56.933703+00:00Z,6424801280,6127.16796875,100.9,43.2,36188.06640625
2026-05-26T08:35:59.329907+00:00Z,6470717440,6170.95703125,100.3,43.3,36147.29296875
2026-05-26T08:36:00.331131+00:00Z,6533771264,6231.08984375,98.9,43.4,36054.42578125
2026-05-26T08:36:01.336740+00:00Z,6618484736,6311.87890625,100.4,43.6,35970.5234375
2026-05-26T08:36:02.341100+00:00Z,6705147904,6394.52734375,99.6,43.6,35929.875
2026-05-26T08:36:03.342494+00:00Z,6790778880,6476.19140625,99.9,43.8,35853.73046875
2026-05-26T08:36:04.348735+00:00Z,6873903104,6555.46484375,100.8,43.9,35773.34765625
2026-05-26T08:36:05.356416+00:00Z,6954573824,6632.3984375,99.9,44.0,35728.17578125
2026-05-26T08:36:06.362932+00:00Z,7037149184,6711.1484375,99.8,44.1,35651.015625
2026-05-26T08:36:07.389943+00:00Z,7121133568,6791.2421875,99.8,44.2,35580.57421875
2026-05-26T08:36:08.417383+00:00Z,7206100992,6872.2734375,99.8,44.3,35502.3359375
2026-05-26T08:36:09.439506+00:00Z,7286706176,6949.14453125,100.1,44.4,35439.86328125
2026-05-26T08:36:10.446637+00:00Z,7362945024,7021.8515625,100.0,44.6,35331.5703125
2026-05-26T08:36:11.451740+00:00Z,7440666624,7095.97265625,99.9,44.7,35265.5625
2026-05-26T08:36:12.457498+00:00Z,7517372416,7169.125,100.6,44.8,35171.7578125
2026-05-26T08:36:13.470295+00:00Z,7590264832,7238.640625,98.5,44.9,35109.04296875
2026-05-26T08:36:14.475557+00:00Z,7662465024,7307.49609375,100.3,45.0,35043.86328125
2026-05-26T08:36:15.478788+00:00Z,7733919744,7375.640625,100.8,45.1,34966.16015625
2026-05-26T08:36:16.485220+00:00Z,7802716160,7441.25,99.6,45.2,34902.6875
2026-05-26T08:36:17.496589+00:00Z,7806320640,7444.6875,100.6,45.3,34893.62109375
2026-05-26T08:36:18.498529+00:00Z,7806320640,7444.6875,99.7,45.3,34896.3046875
2026-05-26T08:36:19.502634+00:00Z,7806320640,7444.6875,99.7,45.2,34960.078125
2026-05-26T08:36:20.503868+00:00Z,7806320640,7444.6875,100.8,45.2,34964.01171875
2026-05-26T08:36:21.506845+00:00Z,7806320640,7444.6875,99.8,45.2,34965.21484375
2026-05-26T08:36:22.508218+00:00Z,7806320640,7444.6875,99.8,45.1,34970.84765625
2026-05-26T08:36:23.510015+00:00Z,7806320640,7444.6875,99.8,45.1,34967.4296875
2026-05-26T08:36:24.512361+00:00Z,7806320640,7444.6875,99.8,45.1,34978.46875
2026-05-26T08:36:25.514339+00:00Z,7806320640,7444.6875,99.8,45.1,34978.66015625
2026-05-26T08:36:26.516648+00:00Z,7806320640,7444.6875,100.8,45.1,34983.87890625
2026-05-26T08:36:27.519864+00:00Z,7806320640,7444.6875,99.8,45.1,34986.015625
2026-05-26T08:36:28.523144+00:00Z,7806320640,7444.6875,99.7,45.1,34986.2109375
2026-05-26T08:36:29.524260+00:00Z,7806320640,7444.6875,99.9,45.1,34988.1484375
2026-05-26T08:36:30.524954+00:00Z,7806320640,7444.6875,99.9,45.3,34865.79296875
2026-05-26T08:36:31.526528+00:00Z,7806320640,7444.6875,99.9,45.3,34867.00390625
2026-05-26T08:36:32.527778+00:00Z,7806320640,7444.6875,99.9,45.3,34879.55078125
2026-05-26T08:36:33.528624+00:00Z,7806320640,7444.6875,99.9,45.3,34883.10546875
2026-05-26T08:36:34.529544+00:00Z,7806320640,7444.6875,99.9,45.3,34885.25390625
2026-05-26T08:36:35.530632+00:00Z,7806320640,7444.6875,99.9,45.3,34889.90625
2026-05-26T08:36:36.532110+00:00Z,7806320640,7444.6875,99.9,45.3,34899.06640625
