ts,rss_bytes,rss_mb,proc_cpu_percent,system_mem_percent,system_mem_available_mb
2026-05-25T22:48:55.485817+00:00Z,2262335488,2157.53125,805.4,33.3,42490.50390625
2026-05-25T22:48:56.502119+00:00Z,2286915584,2180.97265625,785.2,33.4,42471.34375
2026-05-25T22:48:57.513077+00:00Z,2344853504,2236.2265625,820.3,33.4,42470.34765625
2026-05-25T22:48:58.518754+00:00Z,2399739904,2288.5703125,771.5,33.4,42475.9765625
2026-05-25T22:48:59.519569+00:00Z,2447179776,2333.8125,897.2,33.4,42457.1328125
2026-05-25T22:49:00.520437+00:00Z,2484215808,2369.1328125,1014.2,33.4,42445.8125
2026-05-25T22:49:01.526135+00:00Z,2515607552,2399.0703125,1107.8,33.4,42428.1640625
2026-05-25T22:49:02.526740+00:00Z,2550263808,2432.12109375,1050.2,33.5,42424.75390625
2026-05-25T22:49:03.532953+00:00Z,2585083904,2465.328125,978.1,33.3,42513.83984375
2026-05-25T22:49:04.569568+00:00Z,2627325952,2505.61328125,879.1,33.3,42494.09765625
2026-05-25T22:49:05.570511+00:00Z,2654023680,2531.07421875,1092.0,33.4,42475.8125
2026-05-25T22:49:06.571403+00:00Z,2682806272,2558.5234375,1145.8,33.4,42468.390625
2026-05-25T22:49:07.577537+00:00Z,2714619904,2588.86328125,1053.8,33.4,42442.00390625
2026-05-25T22:49:08.593963+00:00Z,2753753088,2626.18359375,961.2,33.4,42426.01953125
2026-05-25T22:49:09.600151+00:00Z,2792243200,2662.890625,943.2,33.5,42411.04296875
2026-05-25T22:49:10.606237+00:00Z,2833801216,2702.5234375,856.7,33.5,42381.71875
2026-05-25T22:49:11.612350+00:00Z,2873729024,2740.6015625,1026.9,33.5,42401.9609375
2026-05-25T22:49:12.932793+00:00Z,2888708096,2754.88671875,477.1,33.7,42260.2578125
2026-05-25T22:49:13.948742+00:00Z,2924756992,2789.265625,794.3,33.8,42204.77734375
2026-05-25T22:49:14.949416+00:00Z,2957414400,2820.41015625,963.4,33.8,42181.9921875
2026-05-25T22:49:15.955216+00:00Z,2997653504,2858.78515625,896.8,33.8,42181.93359375
2026-05-25T22:49:16.976784+00:00Z,3034943488,2894.34765625,851.7,33.9,42156.17578125
2026-05-25T22:49:17.982655+00:00Z,3057942528,2916.28125,1148.4,33.9,42148.6484375
2026-05-25T22:49:18.998686+00:00Z,3090468864,2947.30078125,996.1,33.8,42200.671875
2026-05-25T22:49:19.999601+00:00Z,3118211072,2973.7578125,1122.5,33.8,42178.0859375
2026-05-25T22:49:21.002075+00:00Z,3156484096,3010.2578125,1012.9,33.9,42144.0234375
2026-05-25T22:49:22.008105+00:00Z,3194048512,3046.08203125,913.3,33.9,42166.8359375
2026-05-25T22:49:23.047570+00:00Z,3235725312,3085.828125,889.8,33.9,42136.921875
2026-05-25T22:49:24.053885+00:00Z,3268587520,3117.16796875,852.8,34.0,42068.390625
2026-05-25T22:49:25.073660+00:00Z,3305431040,3152.3046875,896.5,34.1,42022.1015625
2026-05-25T22:49:26.083284+00:00Z,3338977280,3184.296875,899.8,34.1,42014.1015625
2026-05-25T22:49:27.095164+00:00Z,3372142592,3215.92578125,998.0,34.2,41972.2109375
2026-05-25T22:49:28.101549+00:00Z,3402186752,3244.578125,826.2,35.0,41440.875
2026-05-25T22:49:29.120291+00:00Z,3434536960,3275.4296875,955.9,35.1,41368.6328125
2026-05-25T22:49:30.173027+00:00Z,3464687616,3304.18359375,948.6,35.1,41372.80859375
2026-05-25T22:49:31.188903+00:00Z,3492196352,3330.41796875,960.5,35.1,41393.38671875
2026-05-25T22:49:32.194896+00:00Z,3511013376,3348.36328125,1115.8,34.9,41528.4375
2026-05-25T22:49:33.248293+00:00Z,3542163456,3378.0703125,1000.6,34.9,41529.41015625
2026-05-25T22:49:34.270250+00:00Z,3582214144,3416.265625,965.7,34.9,41505.40625
2026-05-25T22:49:35.275291+00:00Z,3620253696,3452.54296875,1021.8,34.9,41509.25390625
2026-05-25T22:49:36.276389+00:00Z,3654234112,3484.94921875,917.9,34.9,41482.6953125
2026-05-25T22:49:37.279681+00:00Z,3693027328,3521.9453125,991.0,34.9,41470.75
2026-05-25T22:49:38.280220+00:00Z,3731210240,3558.359375,989.5,35.0,41457.546875
