ts,rss_bytes,rss_mb,proc_cpu_percent,system_mem_percent,system_mem_available_mb
2026-06-13T14:44:11.743654+00:00Z,2273992704,2168.6484375,873.1,67.0,21023.4140625
2026-06-13T14:44:12.756594+00:00Z,2286891008,2180.94921875,1107.5,67.0,21031.50390625
2026-06-13T14:44:13.783925+00:00Z,2339639296,2231.25390625,963.6,67.1,20974.734375
2026-06-13T14:44:14.787082+00:00Z,2385989632,2275.45703125,1045.6,67.2,20934.7421875
2026-06-13T14:44:15.795716+00:00Z,2414354432,2302.5078125,1053.3,67.2,20912.76953125
2026-06-13T14:44:16.839859+00:00Z,2453880832,2340.203125,905.9,67.4,20779.62109375
2026-06-13T14:44:17.864687+00:00Z,2504159232,2388.15234375,1032.4,67.5,20722.89453125
2026-06-13T14:44:18.884937+00:00Z,2554396672,2436.0625,1076.8,67.6,20683.0390625
2026-06-13T14:44:19.923825+00:00Z,2605187072,2484.5,1038.5,67.6,20637.265625
2026-06-13T14:44:20.936017+00:00Z,2654707712,2531.7265625,994.3,67.7,20591.06640625
2026-06-13T14:44:21.967856+00:00Z,2693160960,2568.3984375,1028.5,67.7,20581.3671875
2026-06-13T14:44:22.975059+00:00Z,2724290560,2598.0859375,1057.2,67.7,20566.734375
2026-06-13T14:44:24.006857+00:00Z,2756132864,2628.453125,1026.1,67.7,20605.0
2026-06-13T14:44:25.008870+00:00Z,2787139584,2658.0234375,998.9,67.7,20580.10546875
2026-06-13T14:44:26.016134+00:00Z,2821443584,2690.73828125,958.6,67.7,20561.75390625
2026-06-13T14:44:27.027297+00:00Z,2852978688,2720.8125,1132.6,67.8,20526.671875
2026-06-13T14:44:29.583941+00:00Z,2872999936,2739.90625,407.4,67.8,20531.20703125
2026-06-13T14:44:30.600420+00:00Z,2917281792,2782.13671875,991.5,67.8,20509.7109375
2026-06-13T14:44:31.627010+00:00Z,2965561344,2828.1796875,1070.5,67.9,20442.7421875
2026-06-13T14:44:32.633038+00:00Z,3009355776,2869.9453125,936.5,67.9,20443.23828125
2026-06-13T14:44:33.649411+00:00Z,3059052544,2917.33984375,1135.1,68.0,20397.9765625
2026-06-13T14:44:34.651100+00:00Z,3104432128,2960.6171875,1127.6,68.1,20360.61328125
2026-06-13T14:44:35.658216+00:00Z,3138265088,2992.8828125,1026.7,68.1,20322.515625
2026-06-13T14:44:36.695573+00:00Z,3185819648,3038.234375,1032.0,68.2,20302.9453125
2026-06-13T14:44:37.702631+00:00Z,3225870336,3076.4296875,1084.8,68.2,20266.05859375
2026-06-13T14:44:38.724477+00:00Z,3261751296,3110.6484375,1173.6,68.3,20230.55859375
2026-06-13T14:44:39.735506+00:00Z,3302248448,3149.26953125,1058.3,68.3,20189.984375
2026-06-13T14:44:40.741535+00:00Z,3348467712,3193.34765625,1172.0,68.4,20143.265625
2026-06-13T14:44:41.770428+00:00Z,3398586368,3241.14453125,1088.0,68.5,20099.21875
2026-06-13T14:44:42.776910+00:00Z,3442630656,3283.1484375,1116.6,68.5,20049.51171875
2026-06-13T14:44:43.814655+00:00Z,3464593408,3304.09375,1081.5,68.6,20040.30859375
2026-06-13T14:44:44.825820+00:00Z,3490402304,3328.70703125,1129.0,68.6,19992.32421875
2026-06-13T14:44:45.828036+00:00Z,3514167296,3351.37109375,1129.3,68.7,19971.5546875
2026-06-13T14:44:46.830176+00:00Z,3540254720,3376.25,1126.9,68.7,19963.21875
2026-06-13T14:44:47.837094+00:00Z,3581464576,3415.55078125,1135.4,68.7,19921.6015625
2026-06-13T14:44:48.843151+00:00Z,3629068288,3460.94921875,1180.6,68.8,19873.99609375
2026-06-13T14:44:49.898808+00:00Z,3677900800,3507.51953125,1187.9,68.9,19823.8515625
2026-06-13T14:44:50.939882+00:00Z,3727069184,3554.41015625,1163.9,69.0,19778.6953125
2026-06-13T14:44:51.942104+00:00Z,3769913344,3595.26953125,1166.3,69.1,19725.640625
2026-06-13T14:44:52.949048+00:00Z,3800162304,3624.1171875,1164.9,69.1,19692.26171875
2026-06-13T14:44:53.977477+00:00Z,3847188480,3668.96484375,1198.1,69.2,19644.234375
2026-06-13T14:44:55.025129+00:00Z,3892850688,3712.51171875,1208.4,69.2,19613.1015625
2026-06-13T14:44:56.027196+00:00Z,3938603008,3756.14453125,1270.2,69.3,19564.5546875
2026-06-13T14:44:57.028905+00:00Z,3974230016,3790.12109375,1155.0,69.4,19513.8203125
2026-06-13T14:44:58.029840+00:00Z,4018581504,3832.41796875,1218.9,69.5,19466.7578125
2026-06-13T14:44:59.031618+00:00Z,4062117888,3873.9375,1242.7,69.5,19420.4453125
2026-06-13T14:45:00.032679+00:00Z,4098535424,3908.66796875,1150.4,69.6,19388.2265625
2026-06-13T14:45:02.815122+00:00Z,4106260480,3916.03515625,230.0,69.6,19371.140625
2026-06-13T14:45:03.816465+00:00Z,4137037824,3945.38671875,1145.4,69.6,19353.51953125
2026-06-13T14:45:04.823524+00:00Z,4155985920,3963.45703125,1200.0,69.7,19331.9375
2026-06-13T14:45:05.868775+00:00Z,4198289408,4003.80078125,1092.3,69.8,19275.453125
2026-06-13T14:45:06.871627+00:00Z,4229799936,4033.8515625,1146.8,69.8,19248.1484375
2026-06-13T14:45:07.878749+00:00Z,4248137728,4051.33984375,1199.5,69.9,19217.703125
2026-06-13T14:45:08.907588+00:00Z,4280856576,4082.54296875,1097.5,69.9,19175.4765625
2026-06-13T14:45:09.946674+00:00Z,4310736896,4111.0390625,1151.9,70.0,19153.7890625
2026-06-13T14:45:10.949130+00:00Z,4334632960,4133.828125,1181.1,70.0,19113.53125
2026-06-13T14:45:11.956582+00:00Z,4367851520,4165.5078125,1190.3,70.1,19088.07421875
2026-06-13T14:45:12.965205+00:00Z,4411228160,4206.875,1065.9,70.0,19103.10546875
2026-06-13T14:45:13.967824+00:00Z,4451405824,4245.19140625,1310.9,70.1,19048.078125
2026-06-13T14:45:14.970221+00:00Z,4485640192,4277.83984375,1244.2,70.2,19017.46484375
2026-06-13T14:45:15.971279+00:00Z,4530139136,4320.27734375,1240.7,70.2,18997.7578125
2026-06-13T14:45:16.977403+00:00Z,4570398720,4358.671875,1173.8,70.5,18794.5546875
2026-06-13T14:45:18.013900+00:00Z,4613779456,4400.04296875,1225.6,70.6,18749.1875
2026-06-13T14:45:19.054179+00:00Z,4639830016,4424.88671875,1206.3,70.6,18735.0703125
2026-06-13T14:45:20.061564+00:00Z,4666601472,4450.41796875,1250.0,70.6,18737.0546875
2026-06-13T14:45:21.095534+00:00Z,4683943936,4466.95703125,1153.6,70.7,18706.57421875
2026-06-13T14:45:22.108150+00:00Z,4708442112,4490.3203125,1147.6,70.7,18667.28125
2026-06-13T14:45:23.114464+00:00Z,4747489280,4527.55859375,1263.4,70.7,18665.8671875
2026-06-13T14:45:24.116721+00:00Z,4790595584,4568.66796875,1265.3,70.8,18609.9921875
2026-06-13T14:45:25.118718+00:00Z,4832272384,4608.4140625,1278.8,70.8,18587.453125
2026-06-13T14:45:26.129581+00:00Z,4873277440,4647.51953125,1307.9,70.9,18559.19921875
2026-06-13T14:45:27.182978+00:00Z,4916948992,4689.16796875,1290.2,71.0,18514.43359375
2026-06-13T14:45:28.198506+00:00Z,4951314432,4721.94140625,1244.7,71.0,18475.890625
2026-06-13T14:45:29.201354+00:00Z,4975435776,4744.9453125,1098.7,71.0,18469.91015625
2026-06-13T14:45:30.210649+00:00Z,5002153984,4770.42578125,1211.3,71.0,18464.72265625
2026-06-13T14:45:31.238961+00:00Z,5027237888,4794.34765625,1156.5,71.1,18433.296875
2026-06-13T14:45:32.248593+00:00Z,5069328384,4834.48828125,1258.8,71.1,18394.01953125
2026-06-13T14:45:33.282738+00:00Z,5108383744,4871.734375,1239.7,71.2,18334.890625
2026-06-13T14:45:34.290208+00:00Z,5135138816,4897.25,1242.3,71.3,18318.93359375
2026-06-13T14:45:35.322855+00:00Z,5168939008,4929.484375,1248.1,71.3,18288.26953125
2026-06-13T14:45:36.330593+00:00Z,5206654976,4965.453125,1311.5,71.3,18276.5546875
2026-06-13T14:45:37.387657+00:00Z,5232832512,4990.41796875,1146.5,71.4,18237.59375
2026-06-13T14:45:38.392958+00:00Z,5252902912,5009.55859375,1218.3,71.4,18238.83203125
2026-06-13T14:45:39.395673+00:00Z,5276344320,5031.9140625,1328.0,71.4,18226.1640625
2026-06-13T14:45:40.397431+00:00Z,5295304704,5049.99609375,1179.4,71.4,18205.06640625
2026-06-13T14:45:41.400557+00:00Z,5324623872,5077.95703125,1109.7,71.5,18170.66796875
2026-06-13T14:45:42.410979+00:00Z,5352267776,5104.3203125,1223.0,71.5,18138.0703125
2026-06-13T14:45:43.436280+00:00Z,5389676544,5139.99609375,1357.6,71.6,18079.02734375
2026-06-13T14:45:44.481037+00:00Z,5421334528,5170.1875,1274.7,71.7,18048.171875
2026-06-13T14:45:45.487399+00:00Z,5463044096,5209.96484375,1315.6,71.7,18021.88671875
2026-06-13T14:45:46.490897+00:00Z,5504385024,5249.390625,1354.1,71.8,17974.33203125
2026-06-13T14:45:47.497661+00:00Z,5538140160,5281.58203125,1336.4,71.9,17936.08203125
2026-06-13T14:45:48.498623+00:00Z,5557039104,5299.60546875,1178.4,71.9,17916.3828125
2026-06-13T14:45:49.506313+00:00Z,5593673728,5334.54296875,1416.7,72.0,17877.0859375
2026-06-13T14:45:50.528328+00:00Z,5616373760,5356.19140625,1281.6,72.0,17868.6875
2026-06-13T14:45:53.675963+00:00Z,5617192960,5356.97265625,157.7,72.0,17843.6328125
2026-06-13T14:45:54.709811+00:00Z,5633949696,5372.953125,1136.6,72.0,17849.5234375
2026-06-13T14:45:55.712055+00:00Z,5654384640,5392.44140625,1260.7,72.0,17828.10546875
2026-06-13T14:45:56.721072+00:00Z,5684195328,5420.87109375,1306.8,72.1,17779.140625
2026-06-13T14:45:57.750935+00:00Z,5723381760,5458.2421875,1335.8,72.2,17751.4765625
2026-06-13T14:45:58.754277+00:00Z,5760327680,5493.4765625,1329.1,72.1,17782.06640625
2026-06-13T14:45:59.761088+00:00Z,5799100416,5530.453125,1378.1,72.2,17740.4453125
2026-06-13T14:46:00.793464+00:00Z,5822042112,5552.33203125,1327.1,72.2,17702.59375
2026-06-13T14:46:01.801494+00:00Z,5860597760,5589.1015625,1381.5,72.3,17678.76953125
2026-06-13T14:46:02.833497+00:00Z,5901627392,5628.23046875,1326.4,72.4,17621.3046875
2026-06-13T14:46:03.841491+00:00Z,5926289408,5651.75,1220.3,72.4,17595.51953125
2026-06-13T14:46:04.881798+00:00Z,5952094208,5676.359375,1234.5,72.5,17560.6015625
