ts,rss_bytes,rss_mb,proc_cpu_percent,system_mem_percent,system_mem_available_mb
2026-05-26T01:22:49.506358+00:00Z,2265243648,2160.3046875,1012.1,34.5,41783.8359375
2026-05-26T01:22:50.512590+00:00Z,2278137856,2172.6015625,1258.3,34.5,41785.37890625
2026-05-26T01:22:51.548304+00:00Z,2313879552,2206.6875,1215.0,34.5,41761.1171875
2026-05-26T01:22:52.554597+00:00Z,2360496128,2251.14453125,1164.8,34.6,41708.46875
2026-05-26T01:22:53.555253+00:00Z,2395680768,2284.69921875,1215.2,34.7,41627.140625
2026-05-26T01:22:54.560979+00:00Z,2444079104,2330.85546875,1115.0,34.8,41585.51953125
2026-05-26T01:22:55.572989+00:00Z,2500984832,2385.125,1186.2,34.8,41540.8359375
2026-05-26T01:22:56.573754+00:00Z,2542948352,2425.14453125,1181.0,34.9,41514.3671875
2026-05-26T01:22:57.579666+00:00Z,2567614464,2448.66796875,1330.3,34.9,41488.3125
2026-05-26T01:22:58.600569+00:00Z,2602897408,2482.31640625,1199.7,35.0,41459.78125
2026-05-26T01:22:59.606482+00:00Z,2626002944,2504.3515625,1304.5,35.0,41443.7421875
2026-05-26T01:23:00.607234+00:00Z,2666102784,2542.59375,1194.0,35.0,41417.27734375
2026-05-26T01:23:01.608406+00:00Z,2712326144,2586.67578125,1151.8,35.1,41371.796875
2026-05-26T01:23:02.609403+00:00Z,2747678720,2620.390625,1228.8,35.2,41335.9765625
2026-05-26T01:23:03.610324+00:00Z,2793607168,2664.19140625,1200.9,35.2,41287.8046875
2026-05-26T01:23:04.611068+00:00Z,2823786496,2692.97265625,1274.6,35.3,41249.80078125
2026-05-26T01:23:05.613336+00:00Z,2854916096,2722.66015625,1294.5,35.3,41227.14453125
2026-05-26T01:23:06.619099+00:00Z,2908344320,2773.61328125,1227.7,35.4,41170.828125
2026-05-26T01:23:07.630332+00:00Z,2939965440,2803.76953125,1258.1,35.5,41141.0078125
2026-05-26T01:23:08.631480+00:00Z,2968379392,2830.8671875,1314.3,35.5,41114.33203125
2026-05-26T01:23:09.632405+00:00Z,2993057792,2854.40234375,1286.1,35.5,41092.7734375
2026-05-26T01:23:10.633424+00:00Z,3021279232,2881.31640625,1316.5,35.6,41067.08984375
2026-05-26T01:23:11.634370+00:00Z,3041755136,2900.84375,1390.9,35.6,41033.6484375
2026-05-26T01:23:12.941640+00:00Z,3057446912,2915.80859375,508.7,35.7,40995.015625
2026-05-26T01:23:13.955010+00:00Z,3098218496,2954.69140625,1217.4,35.7,40961.71875
2026-05-26T01:23:14.983234+00:00Z,3149369344,3003.47265625,1195.3,35.8,40919.875
2026-05-26T01:23:15.983941+00:00Z,3188080640,3040.390625,1236.1,35.9,40881.0234375
2026-05-26T01:23:16.984668+00:00Z,3235000320,3085.13671875,1231.2,36.0,40818.68359375
2026-05-26T01:23:17.986008+00:00Z,3277324288,3125.5,1207.2,36.0,40774.51171875
2026-05-26T01:23:18.987174+00:00Z,3312840704,3159.37109375,1285.7,36.1,40741.08984375
2026-05-26T01:23:19.988061+00:00Z,3342200832,3187.37109375,1285.9,36.1,40717.125
2026-05-26T01:23:20.988730+00:00Z,3363487744,3207.671875,1361.9,36.2,40695.203125
2026-05-26T01:23:21.989624+00:00Z,3384369152,3227.5859375,1364.7,36.2,40665.5859375
2026-05-26T01:23:22.991024+00:00Z,3420831744,3262.359375,1179.4,36.3,40631.48046875
2026-05-26T01:23:23.992348+00:00Z,3451559936,3291.6640625,1251.8,36.3,40589.8046875
2026-05-26T01:23:24.996743+00:00Z,3475546112,3314.5390625,1349.7,36.4,40569.0703125
2026-05-26T01:23:25.997548+00:00Z,3508760576,3346.21484375,1263.7,36.4,40534.71875
2026-05-26T01:23:27.003686+00:00Z,3553357824,3388.74609375,1205.5,36.5,40477.83984375
2026-05-26T01:23:28.030163+00:00Z,3600703488,3433.8984375,1166.1,36.6,40435.23828125
2026-05-26T01:23:29.030854+00:00Z,3641462784,3472.76953125,1226.2,36.6,40424.08203125
2026-05-26T01:23:30.031492+00:00Z,3686563840,3515.78125,1188.2,36.7,40377.13671875
2026-05-26T01:23:31.032223+00:00Z,3730329600,3557.51953125,1213.2,36.7,40328.82421875
2026-05-26T01:23:32.032860+00:00Z,3770310656,3595.6484375,1217.2,36.8,40282.55859375
2026-05-26T01:23:33.034367+00:00Z,3791671296,3616.01953125,1341.7,36.8,40264.3046875
2026-05-26T01:23:34.041517+00:00Z,3818635264,3641.734375,1307.7,36.9,40238.2578125
2026-05-26T01:23:35.073616+00:00Z,3850928128,3672.53125,1233.6,36.9,40205.3359375
