ts,rss_bytes,rss_mb,proc_cpu_percent,system_mem_percent,system_mem_available_mb
2026-06-13T23:13:16.034241+00:00Z,2266988544,2161.96875,1043.4,69.9,19207.890625
2026-06-13T23:13:17.039206+00:00Z,2269769728,2164.62109375,1202.3,69.9,19204.3515625
2026-06-13T23:13:18.041263+00:00Z,2281664512,2175.96484375,1300.6,69.9,19190.46875
2026-06-13T23:13:19.048521+00:00Z,2308620288,2201.671875,1279.9,70.0,19122.42578125
2026-06-13T23:13:20.085512+00:00Z,2335993856,2227.77734375,1190.3,70.0,19096.08203125
2026-06-13T23:13:21.117577+00:00Z,2361249792,2251.86328125,1411.3,70.0,19127.8203125
2026-06-13T23:13:22.142757+00:00Z,2391973888,2281.1640625,1244.8,70.2,18972.19921875
2026-06-13T23:13:23.144564+00:00Z,2422812672,2310.57421875,1179.9,70.3,18945.74609375
2026-06-13T23:13:24.146671+00:00Z,2462126080,2348.06640625,1331.1,70.4,18898.08984375
2026-06-13T23:13:25.148170+00:00Z,2500689920,2384.84375,1278.5,70.4,18881.62890625
2026-06-13T23:13:26.149986+00:00Z,2528657408,2411.515625,1218.7,70.4,18867.64453125
2026-06-13T23:13:27.150936+00:00Z,2559737856,2441.15625,1402.2,70.4,18844.4140625
2026-06-13T23:13:28.152602+00:00Z,2592395264,2472.30078125,1266.2,70.5,18794.7734375
2026-06-13T23:13:29.153665+00:00Z,2616090624,2494.8984375,1357.4,70.5,18791.89453125
2026-06-13T23:13:30.160318+00:00Z,2636013568,2513.8984375,1454.9,70.4,18843.12109375
2026-06-13T23:13:31.167002+00:00Z,2653024256,2530.12109375,1256.4,71.2,18342.30859375
2026-06-13T23:13:32.177393+00:00Z,2686189568,2561.75,1268.7,71.4,18226.28515625
2026-06-13T23:13:33.199010+00:00Z,2719842304,2593.84375,1305.7,70.6,18743.09375
2026-06-13T23:13:34.205101+00:00Z,2740957184,2613.98046875,1313.0,70.2,19000.5859375
2026-06-13T23:13:35.215737+00:00Z,2771365888,2642.98046875,1375.9,70.1,19057.26953125
2026-06-13T23:13:36.256492+00:00Z,2787721216,2658.578125,1366.6,70.1,19069.74609375
2026-06-13T23:13:37.258879+00:00Z,2823311360,2692.51953125,1276.9,70.1,19077.1328125
2026-06-13T23:13:38.261478+00:00Z,2847985664,2716.05078125,1359.9,70.1,19032.2734375
2026-06-13T23:13:39.271645+00:00Z,2868764672,2735.8671875,1363.4,70.2,19016.21875
2026-06-13T23:13:40.306193+00:00Z,2908274688,2773.546875,1376.1,70.3,18962.421875
2026-06-13T23:13:41.316475+00:00Z,2930622464,2794.859375,1434.5,70.4,18870.734375
2026-06-13T23:13:42.318460+00:00Z,2951438336,2814.7109375,1372.3,70.4,18864.375
2026-06-13T23:13:43.321514+00:00Z,2988490752,2850.046875,1393.6,70.6,18731.92578125
2026-06-13T23:13:44.332143+00:00Z,3012853760,2873.28125,1377.0,70.8,18642.4453125
2026-06-13T23:13:45.364439+00:00Z,3032862720,2892.36328125,1326.6,70.9,18532.7265625
2026-06-13T23:13:47.438698+00:00Z,3043586048,2902.58984375,350.0,71.0,18484.71875
2026-06-13T23:13:48.440241+00:00Z,3075727360,2933.2421875,1388.9,71.0,18472.39453125
2026-06-13T23:13:49.441862+00:00Z,3097231360,2953.75,1311.8,71.0,18498.41796875
2026-06-13T23:13:50.443992+00:00Z,3129843712,2984.8515625,1292.3,71.0,18467.03515625
2026-06-13T23:13:51.446106+00:00Z,3165282304,3018.6484375,1378.4,71.2,18379.7265625
2026-06-13T23:13:52.447144+00:00Z,3205451776,3056.95703125,1412.5,71.2,18378.95703125
2026-06-13T23:13:53.448004+00:00Z,3242856448,3092.62890625,1354.8,71.4,18260.08984375
2026-06-13T23:13:54.449022+00:00Z,3279015936,3127.11328125,1402.2,71.4,18222.37890625
2026-06-13T23:13:55.452143+00:00Z,3296915456,3144.18359375,1423.5,71.4,18213.26171875
2026-06-13T23:13:56.454440+00:00Z,3307982848,3154.73828125,1409.1,71.5,18187.25390625
2026-06-13T23:13:57.460350+00:00Z,3326124032,3172.0390625,1411.4,71.4,18211.26953125
2026-06-13T23:13:58.463494+00:00Z,3351568384,3196.3046875,1408.6,71.5,18169.9296875
2026-06-13T23:13:59.466493+00:00Z,3380224000,3223.6328125,1289.0,71.2,18339.65625
2026-06-13T23:14:00.468437+00:00Z,3414716416,3256.52734375,1401.4,71.3,18321.03515625
2026-06-13T23:14:01.470779+00:00Z,3441250304,3281.83203125,1363.7,71.2,18385.625
2026-06-13T23:14:02.473502+00:00Z,3472752640,3311.875,1368.4,71.2,18379.609375
2026-06-13T23:14:03.480586+00:00Z,3486482432,3324.96875,1442.2,71.2,18340.71875
2026-06-13T23:14:04.525074+00:00Z,3511463936,3348.79296875,1217.8,71.3,18291.76953125
2026-06-13T23:14:05.529859+00:00Z,3546488832,3382.1953125,1366.3,71.3,18296.21875
2026-06-13T23:14:06.536935+00:00Z,3558563840,3393.7109375,1509.5,71.4,18250.28125
2026-06-13T23:14:07.548544+00:00Z,3573186560,3407.65625,1320.7,71.4,18232.27734375
2026-06-13T23:14:08.549640+00:00Z,3588395008,3422.16015625,1453.8,71.4,18220.65234375
2026-06-13T23:14:09.556521+00:00Z,3618459648,3450.83203125,1295.8,71.3,18287.26171875
2026-06-13T23:14:10.598905+00:00Z,3654488064,3485.19140625,1367.0,71.4,18220.0234375
2026-06-13T23:14:11.600883+00:00Z,3686440960,3515.6640625,1353.3,71.5,18192.3203125
2026-06-13T23:14:12.602261+00:00Z,3718545408,3546.28125,1404.9,71.5,18184.97265625
2026-06-13T23:14:13.608887+00:00Z,3751358464,3577.57421875,1378.9,71.5,18141.28125
2026-06-13T23:14:14.620435+00:00Z,3786534912,3611.12109375,1387.1,71.6,18096.109375
2026-06-13T23:14:15.622171+00:00Z,3821867008,3644.81640625,1411.6,71.7,18055.17578125
2026-06-13T23:14:16.624150+00:00Z,3838562304,3660.73828125,1344.3,71.8,18005.80859375
2026-06-13T23:14:17.626436+00:00Z,3870396416,3691.09765625,1372.9,71.8,17980.02734375
2026-06-13T23:14:18.628462+00:00Z,3895148544,3714.703125,1318.4,71.8,17963.296875
2026-06-13T23:14:19.637003+00:00Z,3927359488,3745.421875,1353.2,72.0,17867.67578125
2026-06-13T23:14:20.643464+00:00Z,3964125184,3780.484375,1373.6,72.0,17831.12890625
2026-06-13T23:14:21.645495+00:00Z,3994988544,3809.91796875,1422.1,72.6,17485.71875
2026-06-13T23:14:22.651478+00:00Z,4024377344,3837.9453125,1347.6,73.2,17087.9921875
2026-06-13T23:14:23.690420+00:00Z,4057161728,3869.2109375,1368.6,73.1,17170.30078125
2026-06-13T23:14:24.691377+00:00Z,4088369152,3898.97265625,1393.4,73.0,17218.28125
2026-06-13T23:14:25.698602+00:00Z,4113854464,3923.27734375,1448.8,73.0,17184.75390625
2026-06-13T23:14:26.724591+00:00Z,4145594368,3953.546875,1315.2,73.0,17207.7578125
2026-06-13T23:14:27.730990+00:00Z,4176744448,3983.25390625,1389.4,73.1,17167.7109375
2026-06-13T23:14:28.745166+00:00Z,4204548096,4009.76953125,1416.1,73.0,17213.91796875
2026-06-13T23:14:29.762414+00:00Z,4237819904,4041.5,1409.3,73.0,17209.25390625
2026-06-13T23:14:30.763578+00:00Z,4263440384,4065.93359375,1376.5,73.0,17214.7578125
2026-06-13T23:14:31.770427+00:00Z,4289245184,4090.54296875,1423.4,72.8,17346.92578125
2026-06-13T23:14:32.782304+00:00Z,4311769088,4112.0234375,1333.1,72.9,17255.17578125
2026-06-13T23:14:33.784498+00:00Z,4342132736,4140.98046875,1420.7,72.6,17488.703125
