ts,rss_bytes,rss_mb,proc_cpu_percent,system_mem_percent,system_mem_available_mb
2026-06-05T09:04:29.900589+00:00Z,2272477184,2167.203125,733.6,20.3,50838.69140625
2026-06-05T09:04:30.961754+00:00Z,2311016448,2203.95703125,826.3,20.3,50830.83984375
2026-06-05T09:04:31.967612+00:00Z,2368675840,2258.9453125,837.1,20.3,50784.21875
2026-06-05T09:04:32.973321+00:00Z,2426671104,2314.25390625,874.0,20.4,50754.89453125
2026-06-05T09:04:33.984291+00:00Z,2471960576,2357.4453125,1029.6,20.4,50717.4140625
2026-06-05T09:04:34.985283+00:00Z,2518667264,2401.98828125,915.1,20.5,50678.73046875
2026-06-05T09:04:35.991841+00:00Z,2554519552,2436.1796875,1010.5,20.5,50651.08203125
2026-06-05T09:04:37.018104+00:00Z,2586513408,2466.69140625,1146.9,20.6,50640.2734375
2026-06-05T09:04:38.023859+00:00Z,2594897920,2474.6875,386.8,20.6,50638.7890625
2026-06-05T09:04:39.037604+00:00Z,2639544320,2517.265625,1033.6,20.6,50616.0546875
2026-06-05T09:04:40.053968+00:00Z,2681909248,2557.66796875,819.7,20.7,50584.0625
2026-06-05T09:04:41.069877+00:00Z,2722426880,2596.30859375,1008.9,20.7,50550.94140625
2026-06-05T09:04:42.075811+00:00Z,2754347008,2626.75,1060.6,20.7,50530.9921875
2026-06-05T09:04:43.082018+00:00Z,2788130816,2658.96875,1039.1,20.8,50501.90234375
2026-06-05T09:04:44.150817+00:00Z,2828529664,2697.49609375,985.2,20.8,50469.36328125
2026-06-05T09:04:45.172817+00:00Z,2867580928,2734.73828125,1023.8,20.9,50434.421875
2026-06-05T09:04:46.185210+00:00Z,2924421120,2788.9453125,865.6,21.0,50380.80859375
2026-06-05T09:04:47.197813+00:00Z,2966605824,2829.17578125,1068.4,21.0,50349.13671875
2026-06-05T09:04:48.203947+00:00Z,3001327616,2862.2890625,1163.4,21.1,50293.74609375
2026-06-05T09:04:49.231357+00:00Z,3042091008,2901.1640625,977.6,21.1,50271.25390625
2026-06-05T09:04:50.277186+00:00Z,3094261760,2950.91796875,954.4,21.2,50218.90234375
2026-06-05T09:04:51.293194+00:00Z,3154161664,3008.04296875,903.5,21.3,50159.1171875
2026-06-05T09:04:52.294086+00:00Z,3193376768,3045.44140625,1095.0,21.4,50119.34765625
2026-06-05T09:04:53.294993+00:00Z,3220033536,3070.86328125,1150.8,21.4,50090.8046875
2026-06-05T09:04:54.301698+00:00Z,3255390208,3104.58203125,1053.2,21.5,50057.19921875
2026-06-05T09:04:55.327800+00:00Z,3307139072,3153.93359375,876.1,21.6,50002.1640625
2026-06-05T09:04:56.333710+00:00Z,3349970944,3194.78125,1062.7,21.6,49958.89453125
2026-06-05T09:04:57.350151+00:00Z,3396386816,3239.046875,952.1,21.7,49917.19140625
2026-06-05T09:04:58.351386+00:00Z,3431374848,3272.4140625,1104.9,21.7,49883.79296875
2026-06-05T09:04:59.352507+00:00Z,3485732864,3324.25390625,908.1,21.8,49835.40234375
2026-06-05T09:05:00.353618+00:00Z,3528355840,3364.90234375,1040.7,21.9,49792.94921875
2026-06-05T09:05:01.354440+00:00Z,3584643072,3418.58203125,910.3,22.0,49740.265625
2026-06-05T09:05:02.355324+00:00Z,3637112832,3468.62109375,940.1,22.1,49686.0546875
2026-06-05T09:05:03.357003+00:00Z,3665489920,3495.68359375,1165.9,22.1,49658.67578125
2026-06-05T09:05:04.358629+00:00Z,3695947776,3524.73046875,1135.4,22.1,49632.27734375
2026-06-05T09:05:05.359299+00:00Z,3722485760,3550.0390625,1172.2,22.2,49590.41796875
2026-06-05T09:05:06.365048+00:00Z,3749343232,3575.65234375,1121.5,22.2,49573.56640625
2026-06-05T09:05:08.199288+00:00Z,3785224192,3609.87109375,596.4,22.3,49546.08203125
2026-06-05T09:05:09.225343+00:00Z,3835871232,3658.171875,963.9,22.4,49498.3203125
2026-06-05T09:05:10.226238+00:00Z,3862302720,3683.37890625,1205.8,22.4,49472.7109375
2026-06-05T09:05:11.232297+00:00Z,3889221632,3709.05078125,1127.3,22.4,49446.36328125
2026-06-05T09:05:12.239775+00:00Z,3929300992,3747.2734375,1050.8,22.5,49407.77734375
2026-06-05T09:05:13.241928+00:00Z,3969048576,3785.1796875,971.0,22.6,49367.55859375
