ts,rss_bytes,rss_mb,proc_cpu_percent,system_mem_percent,system_mem_available_mb
2026-06-04T02:38:06.830249+00:00Z,1091436544,1040.875,1409.9,20.9,50431.59765625
2026-06-04T02:38:07.831357+00:00Z,1091690496,1041.1171875,1588.1,20.9,50450.98828125
2026-06-04T02:38:08.833341+00:00Z,1091706880,1041.1328125,1598.0,20.8,50463.0078125
2026-06-04T02:38:09.834493+00:00Z,1091706880,1041.1328125,1600.3,20.8,50460.23046875
2026-06-04T02:38:10.835262+00:00Z,1091706880,1041.1328125,1597.7,20.8,50480.609375
2026-06-04T02:38:11.836345+00:00Z,1091706880,1041.1328125,1599.8,20.8,50484.34765625
2026-06-04T02:38:12.837446+00:00Z,1091706880,1041.1328125,1599.6,20.8,50517.02734375
2026-06-04T02:38:13.838485+00:00Z,1091706880,1041.1328125,1599.5,20.7,50552.98046875
2026-06-04T02:38:14.839264+00:00Z,1091710976,1041.13671875,1599.8,20.7,50549.609375
2026-06-04T02:38:15.840108+00:00Z,1091710976,1041.13671875,1599.7,20.7,50580.4921875
2026-06-04T02:38:16.840772+00:00Z,1091710976,1041.13671875,1595.8,20.6,50591.1484375
2026-06-04T02:38:17.841748+00:00Z,1091710976,1041.13671875,1599.5,20.6,50589.54296875
2026-06-04T02:38:18.842606+00:00Z,1091710976,1041.13671875,1599.3,20.6,50597.8046875
2026-06-04T02:38:19.843772+00:00Z,1091710976,1041.13671875,1598.4,20.6,50629.48828125
2026-06-04T02:38:20.844537+00:00Z,1091710976,1041.13671875,1599.5,20.6,50638.40625
2026-06-04T02:38:21.845759+00:00Z,1091710976,1041.13671875,1599.0,20.6,50644.2109375
2026-06-04T02:38:22.847285+00:00Z,1091710976,1041.13671875,1598.7,20.5,50648.83203125
2026-06-04T02:38:23.848138+00:00Z,1091710976,1041.13671875,1599.6,20.5,50652.00390625
2026-06-04T02:38:24.849133+00:00Z,1091710976,1041.13671875,1599.5,20.5,50650.96875
2026-06-04T02:38:25.850185+00:00Z,1091710976,1041.13671875,1599.2,20.6,50636.2421875
2026-06-04T02:38:26.851150+00:00Z,1091710976,1041.13671875,1597.6,20.5,50666.58203125
2026-06-04T02:38:27.852102+00:00Z,1091710976,1041.13671875,1599.5,20.5,50668.12890625
2026-06-04T02:38:28.852888+00:00Z,1091710976,1041.13671875,1597.6,20.5,50674.9765625
2026-06-04T02:38:29.853777+00:00Z,1091710976,1041.13671875,1599.7,20.5,50657.34375
2026-06-04T02:38:30.854685+00:00Z,1091710976,1041.13671875,1600.5,20.5,50680.26953125
2026-06-04T02:38:31.855604+00:00Z,1091710976,1041.13671875,1598.3,20.5,50679.6484375
2026-06-04T02:38:32.856733+00:00Z,1091710976,1041.13671875,1600.2,20.5,50683.74609375
2026-06-04T02:38:33.858434+00:00Z,1091710976,1041.13671875,1599.6,20.5,50694.45703125
2026-06-04T02:38:34.859306+00:00Z,1091710976,1041.13671875,1598.6,20.5,50691.37109375
2026-06-04T02:38:35.860491+00:00Z,1091710976,1041.13671875,1599.6,20.5,50689.2421875
2026-06-04T02:38:36.861877+00:00Z,1091710976,1041.13671875,1599.9,20.6,50621.22265625
2026-06-04T02:38:37.863303+00:00Z,1091710976,1041.13671875,1587.2,20.8,50518.97265625
2026-06-04T02:38:38.864194+00:00Z,1091710976,1041.13671875,1600.6,20.7,50557.6171875
