ts,rss_bytes,rss_mb,proc_cpu_percent,system_mem_percent,system_mem_available_mb
2026-05-26T10:40:05.955503+00:00Z,2858827776,2726.390625,754.2,30.1,44534.1953125
2026-05-26T10:40:06.971475+00:00Z,2859950080,2727.4609375,201.7,30.3,44451.57421875
2026-05-26T10:40:08.003082+00:00Z,2895839232,2761.6875,803.8,30.7,44173.1171875
2026-05-26T10:40:09.055141+00:00Z,2954481664,2817.61328125,740.2,30.8,44095.8515625
2026-05-26T10:40:10.060826+00:00Z,3009519616,2870.1015625,791.4,30.8,44082.25
2026-05-26T10:40:11.102342+00:00Z,3057668096,2916.01953125,875.1,30.9,44072.22265625
2026-05-26T10:40:12.133590+00:00Z,3088441344,2945.3671875,1086.8,30.8,44109.82421875
2026-05-26T10:40:13.134658+00:00Z,3115888640,2971.54296875,1141.9,30.8,44112.86328125
2026-05-26T10:40:14.135537+00:00Z,3140816896,2995.31640625,1141.0,30.8,44089.3125
2026-05-26T10:40:15.136547+00:00Z,3173384192,3026.375,1001.1,30.8,44096.26953125
2026-05-26T10:40:16.137312+00:00Z,3197427712,3049.3046875,1164.4,30.8,44082.59765625
2026-05-26T10:40:17.140685+00:00Z,3229589504,3079.9765625,1077.9,31.0,44010.52734375
2026-05-26T10:40:18.141798+00:00Z,3254505472,3103.73828125,1007.9,31.1,43946.83984375
2026-05-26T10:40:19.142594+00:00Z,3280613376,3128.63671875,1046.2,31.4,43718.95703125
2026-05-26T10:40:20.148397+00:00Z,3321020416,3167.171875,817.6,31.4,43730.98046875
2026-05-26T10:40:21.224598+00:00Z,3366162432,3210.22265625,799.3,31.5,43698.04296875
2026-05-26T10:40:22.225665+00:00Z,3405123584,3247.37890625,876.5,31.7,43531.09375
2026-05-26T10:40:23.232264+00:00Z,3441176576,3281.76171875,876.3,31.7,43515.3671875
2026-05-26T10:40:24.241997+00:00Z,3474583552,3313.62109375,1000.8,31.7,43562.64453125
2026-05-26T10:40:25.285910+00:00Z,3502493696,3340.23828125,1087.4,31.7,43527.37109375
2026-05-26T10:40:26.291501+00:00Z,3527520256,3364.10546875,955.8,31.9,43422.734375
2026-05-26T10:40:27.324303+00:00Z,3558846464,3393.98046875,765.1,31.9,43384.5703125
2026-05-26T10:40:28.386500+00:00Z,3591417856,3425.04296875,1039.6,32.0,43338.125
2026-05-26T10:40:29.392144+00:00Z,3615264768,3447.78515625,780.5,32.2,43252.73828125
