ts,rss_bytes,rss_mb,proc_cpu_percent,system_mem_percent,system_mem_available_mb
2026-05-26T15:02:52.712068+00:00Z,2867179520,2734.35546875,369.2,32.7,42909.72265625
2026-05-26T15:02:53.755321+00:00Z,2903662592,2769.1484375,630.8,32.6,42952.30859375
2026-05-26T15:02:54.797436+00:00Z,2962317312,2825.0859375,782.1,32.7,42912.16015625
2026-05-26T15:02:55.802976+00:00Z,3012575232,2873.015625,800.4,32.7,42873.05859375
2026-05-26T15:02:56.817579+00:00Z,3071295488,2929.015625,727.8,32.5,43035.80859375
2026-05-26T15:02:57.823251+00:00Z,3126972416,2982.11328125,717.2,32.7,42892.765625
2026-05-26T15:02:58.880565+00:00Z,3177234432,3030.046875,799.7,32.9,42779.1328125
2026-05-26T15:02:59.886264+00:00Z,3221860352,3072.60546875,900.9,32.8,42833.078125
2026-05-26T15:03:00.892020+00:00Z,3261923328,3110.8125,697.0,30.6,44217.37890625
2026-05-26T15:03:01.897293+00:00Z,3310047232,3156.70703125,762.0,31.0,44005.0078125
2026-05-26T15:03:02.903062+00:00Z,3356741632,3201.23828125,827.6,31.0,44015.84765625
2026-05-26T15:03:03.924006+00:00Z,3412971520,3254.86328125,703.4,31.3,43822.26953125
2026-05-26T15:03:04.940736+00:00Z,3456667648,3296.53515625,731.5,31.5,43691.078125
2026-05-26T15:03:05.942993+00:00Z,3497881600,3335.83984375,830.8,31.8,43490.1796875
2026-05-26T15:03:06.947231+00:00Z,3528253440,3364.8046875,801.7,32.1,43299.9375
2026-05-26T15:03:07.956711+00:00Z,3562246144,3397.22265625,724.2,32.2,43214.19921875
2026-05-26T15:03:09.009389+00:00Z,3604037632,3437.078125,908.1,32.2,43207.2578125
2026-05-26T15:03:10.015382+00:00Z,3644809216,3475.9609375,794.7,32.3,43143.6640625
2026-05-26T15:03:11.052734+00:00Z,3670241280,3500.21484375,689.6,32.3,43154.671875
2026-05-26T15:03:12.058754+00:00Z,3706466304,3534.76171875,868.8,32.4,43112.62109375
2026-05-26T15:03:13.075711+00:00Z,3745009664,3571.51953125,807.4,32.4,43111.17578125
2026-05-26T15:03:14.081658+00:00Z,3776987136,3602.015625,662.4,32.8,42810.21484375
2026-05-26T15:03:15.118678+00:00Z,3809636352,3633.15234375,802.3,33.1,42661.7265625
2026-05-26T15:03:16.145212+00:00Z,3846643712,3668.4453125,658.7,33.4,42467.359375
2026-05-26T15:03:17.151057+00:00Z,3887325184,3707.2421875,677.0,33.5,42390.73046875
2026-05-26T15:03:18.181869+00:00Z,3927248896,3745.31640625,836.2,33.5,42376.49609375
2026-05-26T15:03:19.216126+00:00Z,3955580928,3772.3359375,727.8,33.7,42284.484375
2026-05-26T15:03:20.242733+00:00Z,3992784896,3807.81640625,830.0,33.8,42213.0703125
2026-05-26T15:03:21.259252+00:00Z,4014813184,3828.82421875,641.5,33.8,42179.2109375
2026-05-26T15:03:22.305794+00:00Z,4048674816,3861.1171875,786.4,33.9,42146.15625
2026-05-26T15:03:23.322967+00:00Z,4076711936,3887.85546875,674.3,33.9,42128.6796875
2026-05-26T15:03:24.324342+00:00Z,4104781824,3914.625,694.8,34.0,42077.015625
2026-05-26T15:03:25.331972+00:00Z,4121034752,3930.125,669.7,34.0,42046.921875
2026-05-26T15:03:26.415101+00:00Z,4148019200,3955.859375,862.7,34.1,42027.9296875
2026-05-26T15:03:27.440874+00:00Z,4176216064,3982.75,732.7,34.0,42079.9921875
2026-05-26T15:03:28.446392+00:00Z,4213460992,4018.26953125,786.7,34.0,42045.12890625
2026-05-26T15:03:29.475135+00:00Z,4244492288,4047.86328125,873.4,34.1,42014.35546875
2026-05-26T15:03:30.476435+00:00Z,4280807424,4082.49609375,977.7,34.1,41985.86328125
2026-05-26T15:03:31.478763+00:00Z,4323614720,4123.3203125,784.3,34.2,41928.9921875
2026-05-26T15:03:32.855258+00:00Z,4327526400,4127.05078125,199.1,34.2,41927.1015625
2026-05-26T15:03:33.877861+00:00Z,4354822144,4153.08203125,843.9,34.2,41952.75390625
2026-05-26T15:03:34.884992+00:00Z,4382285824,4179.2734375,874.1,34.2,41929.58984375
2026-05-26T15:03:35.932083+00:00Z,4417523712,4212.87890625,921.2,34.2,41929.94921875
2026-05-26T15:03:36.943420+00:00Z,4459687936,4253.08984375,865.7,34.3,41897.98828125
2026-05-26T15:03:37.949205+00:00Z,4497530880,4289.1796875,1005.2,34.3,41904.78125
