model,accuracy,precision,recall,f1,FPR,FNR,total_wrong,num_causal,num_regression,num_plausible,causal_rate,regression_rate,plausible_rate,temp_score
multiclass_aug_w100_full,0.9991847440805331,0.9110414608588264,0.9554965547692367,0.9304803447211807,0.0007562710595282665,0.9981358189081225,115,0,0,115,0.0,0.0,1.0,0.9304803447211807
multiclass_aug_w10_full,0.9983344673130351,0.7494561828145292,0.8326342764148562,0.7832003264526154,0.0013175427827102455,0.9921479904178866,235,4,2,229,0.01702127659574468,0.00851063829787234,0.9744680851063829,0.7729875604951686
multiclass_aug_w100_balanced,0.9959308095845739,0.680784054939654,0.9546640968702619,0.7444216053775914,0.004260576563084987,0.9996004262120405,574,14,36,524,0.024390243902439025,0.0627177700348432,0.9128919860627178,0.7196829294194033
multiclass_aug_w10_balanced,0.9940536939388785,0.6792075460391207,0.9669417955282572,0.7426755159025531,0.006063691215882379,0.9964057507987221,839,11,43,785,0.013110846245530394,0.05125148986889154,0.9356376638855781,0.7258697948060095
multiclass_full_w100_full,0.9303913228413441,0.6578555050057318,0.8912112224278077,0.7157847732887433,0.07177836016473231,0.9689747003994674,9806,2,25,9779,0.00020395676116663266,0.0025494595145829084,0.9972465837242505,0.7151729030052434
multiclass_reduced_w100_full,0.9272791719835531,0.6181159884611974,0.8526454209928973,0.6769250515950596,0.07513290902283788,0.97017310252996,10245,7,38,10200,0.0006832601268911664,0.003709126403123475,0.9956076134699854,0.6758415962509893
multiclass_reduced_w100_balanced,0.9040408336877924,0.43517140398871257,0.9586049932028138,0.5341878764035244,0.10058405091725946,0.9864163004394726,13523,173,432,12918,0.012793019300451083,0.03194557420690675,0.9552614064926421,0.5214022519119175
multiclass_full_w10_full,0.9385808244032432,0.4785475172586956,0.6796792945488155,0.5327383402741106,0.060584509889056906,0.9250966280154604,8649,142,242,8265,0.0164180830153775,0.027980113307896865,0.9556018036767256,0.5189332761048425
multiclass_full_w100_balanced,0.90618885580604,0.43277231034243097,0.9542920928686627,0.5251105424329384,0.09822538375140397,0.9846870838881492,13220,169,293,12758,0.012783661119515885,0.02216338880484115,0.965052950075643,0.5142860341122123
multiclass_reduced_w10_full,0.8870130974655553,0.4080310927980227,0.7208227949738082,0.46086193195532577,0.11636298303663667,0.9486735101986402,15925,1585,351,13989,0.09952904238618525,0.022040816326530613,0.8784301412872841,0.40668924749692703
multiclass_full_w10_balanced,0.8762261155525316,0.3730265337395261,0.7571881916226649,0.4265949283277795,0.12887215343384587,0.9686666666666667,17447,1471,631,15345,0.08431248925316673,0.03616667621940735,0.8795208345274259,0.3772053484573147
multiclass_reduced_w10_balanced,0.8619450586834496,0.3674924138854992,0.7354986805394168,0.4164890884589991,0.14327529158120106,0.9623071763916834,19462,3222,578,15662,0.16555338608570547,0.02969890042133388,0.8047477134929606,0.3277726153318796
