model,accuracy,precision,recall,f1,FPR,Detection Rate,total_wrong,num_causal,num_regression,num_plausible,causal_rate,regression_rate,plausible_rate,temp_score
ait_logic_pretrained_full_w100_10000b10000a_20260505_063312,0.987742804480363,0.8883632763443747,0.9551259248487689,0.9179454999905804,0.011868214152002995,0.9808255659121172,1729,0,157,1572,0.0,0.09080393290919607,0.9091960670908039,0.8997847134087412
ait_logic_pretrained_reduced_w100_balanced_20260505_111948,0.9848362398979158,0.8796946978188889,0.9616126365728761,0.9148477663811725,0.015073006364657431,0.9832223701731025,2139,0,138,2001,0.0,0.06451612903225806,0.9354838709677419,0.9019445405747208
ait_logic_pretrained_full_w100_1000b1000a_20260505_053858,0.9874805047497519,0.8699503981347461,0.9594375938955579,0.9078071664151978,0.012145263946087607,0.9808255659121172,1766,0,167,1599,0.0,0.09456398640996602,0.905436013590034,0.8888943691332045
ait_logic_pretrained_full_w100_balanced_20260505_042216,0.9863391464624982,0.8652828368040687,0.9581971529279858,0.9043531622072315,0.01358292774241857,0.9849533954727031,1927,0,183,1744,0.0,0.09496626881162429,0.9050337311883757,0.8853599084449066
ait_logic_pretrained_full_w100_500b500a_20260505_052121,0.9865589111016588,0.867077842003531,0.9536533291308242,0.9039037655607653,0.012864095844253088,0.9762982689747004,1896,0,183,1713,0.0,0.09651898734177215,0.9034810126582279,0.8845999680924109
ait_logic_pretrained_full_w100_100b100a_20260505_050756,0.9871118672905147,0.8699274978964817,0.9396009125306461,0.9002296945773841,0.01141894421564957,0.9609853528628496,1818,0,160,1658,0.0,0.08800880088008801,0.911991199119912,0.8826279344013666
ait_logic_pretrained_full_w100_50b50a_20260505_045948,0.9862398979157805,0.8667025310288855,0.9434202814581104,0.8998664811484989,0.012953949831523775,0.9719041278295606,1941,0,186,1755,0.0,0.09582689335394126,0.9041731066460588,0.8807011024777106
ait_logic_pretrained_full_w100_10b10a_20260505_043647,0.9856869417269247,0.8757223146639879,0.9124877212306883,0.8901190674537769,0.010887308124298016,0.9247669773635153,2019,0,155,1864,0.0,0.07677067855373948,0.9232293214462606,0.874764931743029
ait_logic_pretrained_full_w100_30b30a_20260505_044929,0.9845668509853963,0.8769065642322206,0.9099076806177713,0.8888375602430866,0.011770872332459752,0.9194407456724367,2177,0,170,2007,0.0,0.07808911345888837,0.9219108865411116,0.8732197375513089
ait_logic_pretrained_full_w100_20b20a_20260505_044321,0.984389621437686,0.8705151814223513,0.9112506801132785,0.8855370712633878,0.012175215275177837,0.9233022636484687,2202,0,175,2027,0.0,0.07947320617620345,0.9205267938237965,0.8696424300281471
ait_logic_pretrained_aug_w100_20b20a_20260505_140741,0.9971430596909117,0.838417805912781,0.9861812475600285,0.8655964147595926,0.0029651815799326096,0.9990679094540612,403,0,22,381,0.0,0.05459057071960298,0.9454094292803971,0.854678300615672
ait_logic_pretrained_aug_w100_balanced_20260505_135020,0.9972848433290799,0.8388683367262747,0.9839774888870538,0.865356349584329,0.002800449269936353,0.9988015978695073,383,0,19,364,0.0,0.04960835509138381,0.9503916449086162,0.8554346785660523
ait_logic_pretrained_aug_w100_10b10a_20260505_135911,0.9971997731461789,0.8382518300646854,0.9861932280916645,0.8648643483324785,0.0029052789217521528,0.9990679094540612,395,0,19,376,0.0,0.04810126582278481,0.9518987341772152,0.8552440951679215
ait_logic_pretrained_aug_w100_30b30a_20260505_141329,0.9969303842336594,0.8363840742664646,0.9883326251977408,0.8632358722412018,0.0031973043803818794,0.9992010652463382,433,0,24,409,0.0,0.05542725173210162,0.9445727482678984,0.8521504218947815
ait_logic_pretrained_aug_w100_50b50a_20260505_142025,0.996887849142209,0.8352359325408789,0.9882862344282966,0.8611309146752992,0.0032347435417446647,0.9990679094540612,439,0,21,418,0.0,0.04783599088838269,0.9521640091116174,0.8515637164976226
ait_logic_pretrained_aug_w100_100b100a_20260505_142715,0.9967956897773997,0.8339445323838328,0.9905004760664529,0.8590241624133437,0.003347061025833021,0.9993342210386151,452,0,20,432,0.0,0.04424778761061947,0.9557522123893806,0.8501746048912198
ait_logic_scratch_aug_w10_full_20260505_153536,0.9991353404774055,0.885329753582786,0.8231314618125521,0.8480154382938225,0.0002320671946819182,0.9878892733564014,122,0,0,122,0.0,0.0,1.0,0.8480154382938225
ait_logic_pretrained_aug_w10_30b30a_20260505_125344,0.9964846629245336,0.7990719820835801,0.9718734106617305,0.8353361990779377,0.0035259241514575316,0.9966728772957146,496,0,13,483,0.0,0.02620967741935484,0.9737903225806451,0.8300942635940667
ait_logic_pretrained_aug_w10_balanced_20260505_121528,0.9965484492827579,0.7989778489818183,0.9721095611314006,0.8345346683063879,0.003473521881690647,0.9969390471120575,487,0,8,479,0.0,0.01642710472279261,0.9835728952772074,0.8312492473618294
