,macro_f1,accuracy,detection_rate,false_alarm_rate,num_wrong,num_causal,num_regression,error_rate,causal_rate,regression_rate,temp_score
ait_temp_context_endtoend_base_w100_full_0.001lr,0.9313248187279873,0.9989602631479451,0.9904136339428369,0.0005590886854427283,110.0,0.0,1.0,0.001039736852054898,0.0,0.00909090909090909,0.9295066369098055
ait_temp_context_pretrained_base_w100_full_0.001lr,0.914981689278811,0.9991776626715566,0.9905911592401917,0.0003394467018759422,87.0,0.0,0.0,0.0008223373284434194,0.0,0.0,0.914981689278811
ait_temp_pretrained_base_w100_full_0.001lr,0.9048301463755244,0.9983742296495142,0.9849103497248358,0.0008685842077413815,172.0,0.0,37.0,0.0016257703504858408,0.0,0.21511627906976744,0.8618068905615709
multiclass_basefeatures_w100_fulldata_0.001lr,0.8954691081403654,0.9976558660062762,0.9865080774010296,0.001717200962431237,248.0,6.0,2.0,0.0023441339937237704,0.024193548387096774,0.008064516129032258,0.8817594307210106
ensemble_portawarefeatures_w100_fulldata_0.001lr,0.8850611152140182,0.9976936746190782,0.9934315639978697,0.002056647664307179,244.0,3.0,9.0,0.002306325380921774,0.012295081967213115,0.036885245901639344,0.8715365250500837
ensemble_basefeatures_w100_fulldata_0.001lr,0.8829316617833115,0.9979961435214942,0.9891709568613527,0.0015075427053902139,212.0,4.0,2.0,0.0020038564785058036,0.018867924528301886,0.009433962264150943,0.8716109070663304
ait_temp_endtoend_base_w100_full_0.001lr,0.8353830577255138,0.9983931339559151,0.9827800461565773,0.0007288120363806995,170.0,0.0,28.0,0.0016068660440848425,0.0,0.16470588235294117,0.8024418812549255
multiclass_portawarefeatures_w100_fulldata_0.001lr,0.8333518712501624,0.9978260047638852,0.9886383809692881,0.001647314876750896,230.0,13.0,3.0,0.0021739952361147868,0.05652173913043478,0.013043478260869565,0.8024823060327712
ait_temp_context_baseline_endtoend_base_w100_full_0.001lr,0.5840934425007107,0.9628530379220387,0.30339073317947807,5.9902359154578036e-05,3930.0,0.0,0.0,0.03714696207796136,0.0,0.0,0.5840934425007107
ait_temp_baseline_endtoend_base_w100_full_0.001lr,0.09231403815656924,0.05324397897841128,1.0,1.0,100163.0,0.0,20005.0,0.9467560210215887,0.0,0.19972444914788895,0.05236914832699145
