#{"solver": {"engine": {"type": "ExactEngine"}, "semiring": "GraphSemiring"}, "networks": [{"name": "net5", "module": "FlowLSTM(\n  (softmax): Softmax(dim=1)\n  (lstm): LSTM(112, 64, batch_first=True)\n  (classifier): Sequential(\n    (0): Linear(in_features=64, out_features=32, bias=True)\n    (1): ReLU()\n    (2): Linear(in_features=32, out_features=2, bias=True)\n  )\n)", "optimizer": "Adam (\nParameter Group 0\n    amsgrad: False\n    betas: (0.9, 0.999)\n    capturable: False\n    decoupled_weight_decay: False\n    differentiable: False\n    eps: 1e-08\n    foreach: None\n    fused: None\n    lr: 0.0001\n    maximize: False\n    weight_decay: 0\n)", "k": null}], "program": "nn(net5,[X],Z,[benign, phase5])::phase(5,X,Z).\nddos(X,P1,P2,P3,P4,alarm) :- 4 is P1+P2+P3+P4, phase(5,X,phase5).\nddos(X,P1,P2,P3,P4,no_alarm) :- \\+ddos(X,P1,P2,P3,P4,alarm).\n"}
#=== Results for full dataset ===
#Accuracy 0.8707
#Precision 0.4956
#Recall 0.9437
#F1 0.6499
#Specificity 0.8601
#Confusion Matrix:
#         	        	  Actual	     
#         	        	no_alarm	alarm
#Predicted	no_alarm	   37785	  360
#         	   alarm	    6145	 6037
#
#=== Results for filtered dataset (all previous phases present) ===
#Accuracy 0.5902
#Precision 0.4956
#Recall 0.9437
#F1 0.6499
#Specificity 0.3517
#Confusion Matrix:
#         	        	  Actual	     
#         	        	no_alarm	alarm
#Predicted	no_alarm	    3333	  360
#         	   alarm	    6145	 6037
i,time,loss,ground_time,compile_time,eval_time
100,1.5522425174713135,0.041090593952697624,0.00091783747673034,0.007453540849685422,8.496656417846669e-05
200,3.9739677906036377,0.0417734315951938,0.0009249887943267771,0.007597426271438351,0.00013712730407714851
300,6.870727777481079,0.04141074587685265,0.0009260441780090256,0.007473356533050286,0.00016766581535339358
400,9.770514488220215,0.03946721832595752,0.0009243490695953328,0.007480792140960447,0.0001666367530822755
500,12.744613409042358,0.04402045966620118,0.0009267161369323684,0.007478998565673613,0.00016827960014343204
600,15.755194425582886,0.04201983100558048,0.0009267372608184727,0.007585369443893173,0.00016856837272644087
700,18.912413835525513,0.0418003988290919,0.0009249545574188151,0.007782293128967034,0.0001724924087524413
800,23.561697959899902,0.042970710579278676,0.000930593013763422,0.007440099620818849,0.0002320833683013919
900,26.127071142196655,0.043447529967382714,0.0009311403751373233,0.007378769350051623,0.00013853836059570323
1000,27.505211353302002,0.03813357582467513,0.0009242086887359577,0.007866185474395505,8.139491081237843e-05
1100,28.862308740615845,0.0386141410505571,0.0009252420425414997,0.007528638839721441,7.95891284942626e-05
1200,30.253187656402588,0.03985712279115144,0.0009295462608337342,0.007603959608077756,8.026123046875012e-05
1300,31.715640783309937,0.04387667042502364,0.0009315709590911789,0.0075298920631406375,8.258447647094738e-05
1400,33.08172392845154,0.03874530901004493,0.0009223244667053185,0.007567059993743679,7.985582351684598e-05
1500,34.4703094959259,0.041787763863317534,0.0009252700805663988,0.007595883750915287,8.036293983459494e-05
1600,35.859461545944214,0.040031082750496855,0.0009252642154693542,0.007710685396194216,8.065967559814455e-05
1700,37.22536826133728,0.036120196011579925,0.0009263457298278751,0.007439898347854356,7.978792190551769e-05
1800,38.64874982833862,0.03909079694135905,0.0009281663894653257,0.007505518913268764,8.260436058044435e-05
1900,40.07853055000305,0.04255666347795394,0.0009279183864593461,0.007528369426727057,8.106741905212406e-05
2000,41.4466507434845,0.03732304057293606,0.0009242750167846586,0.007380629777908062,7.998361587524469e-05
2100,42.886033058166504,0.03826830829114854,0.000922748708724969,0.007344137287139655,8.218283653259281e-05
2200,44.289451599121094,0.037916104403008986,0.0009279471397399828,0.007642878007888548,8.067011833190925e-05
2300,45.706578969955444,0.04221678804709352,0.0009260113716125415,0.007773775625228615,8.13605308532715e-05
2400,47.28050756454468,0.04216410483421008,0.0009309781551361002,0.00759187822341895,8.700742721557645e-05
2500,48.67068433761597,0.03982321509667643,0.0009205608844757002,0.007439036750793207,8.090991973876951e-05
2600,50.03189206123352,0.04023497960156722,0.0009254088878631512,0.00771670045852634,8.08367729187012e-05
2700,51.39560627937317,0.03783222854903312,0.0009225825786590484,0.007510909080505096,8.054060935974121e-05
2800,52.75187277793884,0.03843652034198627,0.0009249466419219896,0.007540998411178351,7.979912757873554e-05
2900,54.092777729034424,0.036177464511452685,0.0009212832450866644,0.00761149654388404,7.991399765014661e-05
3000,55.53384613990784,0.044944972072071925,0.000932865619659418,0.0076610838413235915,8.260722160339341e-05
3100,56.968873500823975,0.04535919069857305,0.0009320725440978912,0.007785608291625712,8.207259178161648e-05
