#{"solver": {"engine": {"type": "ExactEngine"}, "semiring": "GraphSemiring"}, "networks": [{"name": "net5", "module": "FlowLSTM(\n  (softmax): Softmax(dim=1)\n  (lstm): LSTM(112, 64, batch_first=True)\n  (classifier): Sequential(\n    (0): Linear(in_features=64, out_features=32, bias=True)\n    (1): ReLU()\n    (2): Linear(in_features=32, out_features=2, bias=True)\n  )\n)", "optimizer": "Adam (\nParameter Group 0\n    amsgrad: False\n    betas: (0.9, 0.999)\n    capturable: False\n    decoupled_weight_decay: False\n    differentiable: False\n    eps: 1e-08\n    foreach: None\n    fused: None\n    lr: 0.0001\n    maximize: False\n    weight_decay: 0\n)", "k": null}], "program": "nn(net5,[X],Z,[benign, phase5])::phase(5,X,Z).\nddos(X,P1,P2,P3,P4,alarm) :- 4 is P1+P2+P3+P4, phase(5,X,phase5).\nddos(X,P1,P2,P3,P4,no_alarm) :- \\+ddos(X,P1,P2,P3,P4,alarm).\n"}
#
#=== Results for full dataset ===
#
#Accuracy: 0.8715
#Micro F1: 0.8715 | Macro F1: 0.7920 | Weighted F1: 0.8879
#Precision: 0.4973 | Recall: 0.9966 | F1: 0.6635 | Specificity: 0.8533
#
#Per-class metrics:
#  [no_alarm] P=0.9994 | R=0.8533 | F1=0.9206 | Support=43930
#  [alarm] P=0.4973 | R=0.9966 | F1=0.6635 | Support=6397
#Confusion Matrix:
#         	        	  Actual	     
#         	        	no_alarm	alarm
#Predicted	no_alarm	   37485	   22
#         	   alarm	    6445	 6375
#
#=== Filtered test set metrics (all prev phases) ===
#
#Accuracy: 0.5926
#Micro F1: 0.5926 | Macro F1: 0.5737 | Weighted F1: 0.5563
#Precision: 0.4973 | Recall: 0.9966 | F1: 0.6635 | Specificity: 0.3200
#
#Per-class metrics:
#  [no_alarm] P=0.9928 | R=0.3200 | F1=0.4840 | Support=9478
#  [alarm] P=0.4973 | R=0.9966 | F1=0.6635 | Support=6397
#
#Confusion Matrix:
#         	        	  Actual	     
#         	        	no_alarm	alarm
#Predicted	no_alarm	    3033	   22
#         	   alarm	    6445	 6375
i,time,loss,ground_time,compile_time,eval_time
100,2.5814218521118164,0.11739654560492215,0.0015570017337799148,0.01524735713005041,0.00011989316940307586
200,6.700340986251831,0.10029253915452753,0.0016297618389129501,0.015466277408599596,0.0001969252586364755
300,10.811157941818237,0.0838915647400987,0.0016085438728332434,0.015400143194198346,0.0001967070102691647
400,14.973246097564697,0.08655489413641253,0.0016122497558593665,0.01533493041992162,0.00019808287620544422
500,19.07897138595581,0.08475755894722344,0.001597730302810665,0.015404719924926494,0.0001965401172637939
600,23.1552312374115,0.0825649729610241,0.001569880485534669,0.015277200365066275,0.00019544587135314929
700,27.320897817611694,0.08055993227380945,0.0016024769783019922,0.015400065898895008,0.00019587163925170875
800,31.572199821472168,0.08556760167334207,0.0016088636398315327,0.015405121040343977,0.00019705619812011702
900,35.82692766189575,0.07983265382341562,0.0015978584289550754,0.015535794305801083,0.00019727983474731507
1000,40.04108214378357,0.08257563941511373,0.0015678682327270469,0.015647154521941847,0.00019532227516174294
1100,42.039867639541626,0.0785591128562874,0.0015942377090454062,0.015642883110046073,9.434671401977552e-05
1200,44.11493945121765,0.08651866229225462,0.0016167701721191273,0.01538226599693271,9.575948715209967e-05
1300,46.204391956329346,0.083934557013323,0.0016168574810027968,0.01545705180168125,9.721684455871593e-05
1400,48.216614961624146,0.08874145514432312,0.001580836391448969,0.015235934972762781,9.402141571044903e-05
1500,50.17198419570923,0.08017938729865076,0.0016065912246704106,0.015498661231994363,9.238319396972644e-05
